taxonID,scientificName,vernacularName,scientificNameAuthority,primaryDiscipline,establishmentMeans,taxonRank,speciesGroup,ffgactstatus,epbcactStatus,vicadvisorystatus,restrictedFlag,modified,extractDate,status,sourceStatus
2938,Plectrotarsus gravenhorstii,Caddisfly,"Kolenati, 1848",Aquatic invertebrates,,species,Invertebrates,Endangered,,Vulnerable,,2010-09-16,2023-01-16,Endangered,Endangered
15255,Pseudocalliax tooradin,Ghost shrimp,"(Poore & Griffin, 1979)",Aquatic invertebrates,,species,Aquatic inverts,Endangered,,Vulnerable,rest,2010-12-02,2023-01-16,Endangered,Endangered
3058,Ramiheithrus virgatus,Caddisfly,"Neboiss, 1974",Aquatic invertebrates,,species,Invertebrates,Vulnerable,,Vulnerable,rest,2010-09-16,2023-01-16,Vulnerable,Vulnerable
2512,Riekoperla darlingtoni,Mt Donna Buang Wingless Stonefly,"(Illies, 1968)",Aquatic invertebrates,,species,Invertebrates,Critically Endangered,,Critically endangered,rest,2017-05-05,2023-01-16,Critically Endangered,Critically Endangered
2496,Riekoperla intermedia,Stonefly,"Theischinger, 1985",Aquatic invertebrates,,species,Invertebrates,Vulnerable,,Endangered,rest,2014-08-06,2023-01-16,Vulnerable,Vulnerable
2495,Riekoperla isosceles,Stonefly,"Theischinger, 1985",Aquatic invertebrates,,species,Invertebrates,Vulnerable,,Critically endangered,rest,2013-12-17,2023-01-16,Vulnerable,Vulnerable
15052,Spathula tryssa,Planarian,"Ball, 1977",Aquatic invertebrates,,species,Invertebrates,Endangered,,Vulnerable,,2014-02-18,2023-01-16,Endangered,Endangered
3023,Tamasia furcilla,Caddisfly,"Neboiss, 1984",Aquatic invertebrates,,species,Invertebrates,Critically Endangered,,Vulnerable,rest,2010-09-16,2023-01-16,Critically Endangered,Critically Endangered
3036,Tanjistomella verna,Caddisfly,"Neboiss, 1974",Aquatic invertebrates,,species,Invertebrates,Endangered,,Vulnerable,,2010-09-16,2023-01-16,Endangered,Endangered
3040,Taskiria otwayensis,Caddisfly,"Neboiss, 1984",Aquatic invertebrates,,species,Invertebrates,Vulnerable,,Vulnerable,rest,2013-12-17,2023-01-16,Vulnerable,Vulnerable
2365,Thaumatoperla alpina,Alpine Stonefly,Burns and Neboiss 1957,Aquatic invertebrates,,species,Invertebrates,Endangered,Endangered,Vulnerable,rest,2013-02-21,2023-01-16,Endangered,Endangered
2366,Thaumatoperla flaveola,Mount Stirling stonefly,Burns and Neboiss 1957,Aquatic invertebrates,,species,Invertebrates,Critically Endangered,,Vulnerable,rest,2016-02-11,2023-01-16,Critically Endangered,Critically Endangered
75192,Triaenodes cuspiosa,Caddisfly,"Neboiss & Wells, 1998",Aquatic invertebrates,,species,Invertebrates,Vulnerable,,Vulnerable,,2013-12-16,2023-01-16,Vulnerable,Vulnerable
75193,Triaenodes resima,Caddisfly,"Neboiss & Wells, 1998",Aquatic invertebrates,,species,Invertebrates,Vulnerable,,Vulnerable,rest,2012-11-20,2023-01-16,Vulnerable,Vulnerable
75194,Triaenodes uvida,Caddisfly,"Neboiss & Wells, 1998",Aquatic invertebrates,,species,Invertebrates,Vulnerable,,Vulnerable,rest,2012-11-20,2023-01-16,Vulnerable,Vulnerable
75195,Triaenodes vespertina,Caddisfly,"Neboiss & Wells, 1998",Aquatic invertebrates,,species,Invertebrates,Vulnerable,,Critically endangered,,2013-12-16,2023-01-16,Vulnerable,Vulnerable
3187,Westriplectes pedderensis,Caddisfly,"Neboiss, 1977",Aquatic invertebrates,,species,Invertebrates,Vulnerable,,Vulnerable,rest,2010-09-16,2023-01-16,Vulnerable,Vulnerable
502094,Abrodictyum caudatum,Jungle Bristle-fern,(Brack.) Ebihara & K. Iwats.,Flora,,species,Fern and allies,Endangered,,Rare,,2017-10-13,2023-01-16,Endangered,Endangered
500001,Abrotanella nivigena,Snow-wort,(F. Muell.) F. Muell.,Flora,,species,Dicotyledons,Critically Endangered,,Vulnerable,,2019-03-04,2023-01-16,Critically Endangered,Critically Endangered
500002,Abutilon fraseri,Dwarf Lantern-flower,(Hook.) Walp.,Flora,,species,Dicotyledons,Endangered,,All infraspecific taxa included in Advisory List,,2014-09-26,2023-01-16,Endangered,Endangered
504199,Abutilon malvifolium,Mallow-leaf Lantern-flower,Benth.,Flora,,species,Dicotyledons,Critically Endangered,,Endangered,,2010-09-16,2023-01-16,Critically Endangered,Critically Endangered
500003,Abutilon otocarpum,Desert Lantern,F. Muell.,Flora,,species,Dicotyledons,Endangered,,Vulnerable,,2010-09-16,2023-01-16,Endangered,Endangered
504200,Abutilon oxycarpum var. subsagittatum,Flannel Weed,Domin,Flora,,species,Dicotyledons,Critically Endangered,,Endangered,,2020-11-12,2023-01-16,Critically Endangered,Critically Endangered
500009,Acacia alpina,Alpine Wattle,F. Muell.,Flora,,species,Dicotyledons,Endangered,,Rare,,2016-12-07,2023-01-16,Endangered,Endangered
500010,Acacia amoena,Boomerang Wattle,H.L. Wendl.,Flora,,species,Dicotyledons,Vulnerable,,Rare,,2016-12-13,2023-01-16,Vulnerable,Vulnerable
500051,Acacia ancistrophylla var. lissophylla,Dwarf Myall,(J.M. Black) R.S. Cowan & Maslin,Flora,,species,Dicotyledons,Endangered,,Vulnerable,,2017-01-19,2023-01-16,Endangered,Endangered
