taxonID,scientificName,vernacularName,Bonn,Listed_Name_Bonn,kingdom,phylum,class,order,family,genus,taxonRemarks,EPBC_Threat_Status,EPBC_Threatened_Species_Listed_Name,EPBC_Threatened_Species_Date_Effective,EPBC_Act_Migratory,CAMBA,Listed_Name_Camba,JAMBA,Listed_Name_Jamba,ROKAMBA,Listed_Name_Rokamba,Marine_Status,Listed_Name_Marine,Cetacean,Finalised_Priority_Assessment_List_FPAL_,Listed_Name_FPAL,Conservation_Advice,Recovery_Plan,Recovery_Plan_Decisions,status
875,Calidris alba,Sanderling,B2C,Calidris alba,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,birds,,,,Listed,Listed,Calidris alba,Listed,Calidris alba,Listed,Calidris alba,Listed,Calidris alba,,,,,,,Bonn Convention Listed
855,Calidris canutus,"Red Knot, Knot",B2C,Calidris canutus,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,birds,Endangered,Calidris canutus,05-MAY-2016,Listed,Listed,Calidris canutus,Listed,Calidris canutus,Listed,Calidris canutus,Listed - overfly marine area,Calidris canutus,,"30/10/2022, Completed","Calidris canutus, Calidris canutus",05-May-16,,Recovery Plan not required,Bonn Convention Listed
856,Calidris ferruginea,Curlew Sandpiper,B2C,Calidris ferruginea,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,birds,Critically Endangered,Calidris ferruginea,26-MAY-2015,Listed,Listed,Calidris ferruginea,Listed,Calidris ferruginea,Listed,Calidris ferruginea,Listed - overfly marine area,Calidris ferruginea,,"30/10/2022, Completed","Calidris ferruginea, Calidris ferruginea",26-May-15,,Recovery Plan not required,Bonn Convention Listed
858,Calidris melanotos,Pectoral Sandpiper,B2C,Calidris melanotos,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,birds,,,,Listed,,,Listed,Calidris melanotos,Listed,Calidris melanotos,Listed - overfly marine area,Calidris melanotos,,,,,,,Bonn Convention Listed
860,Calidris ruficollis,Red-necked Stint,B2C,Calidris ruficollis,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,birds,,,,Listed,Listed,Calidris ruficollis,Listed,Calidris ruficollis,Listed,Calidris ruficollis,Listed - overfly marine area,Calidris ruficollis,,,,,,,Bonn Convention Listed
861,Calidris subminuta,Long-toed Stint,B2C,Calidris subminuta,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,birds,,,,Listed,Listed,Calidris subminuta,Listed,Calidris subminuta,Listed,Calidris subminuta,Listed - overfly marine area,Calidris subminuta,,,,,,,Bonn Convention Listed
862,Calidris tenuirostris,Great Knot,B2C,Calidris tenuirostris,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,birds,Critically Endangered,Calidris tenuirostris,05-MAY-2016,Listed,Listed,Calidris tenuirostris,Listed,Calidris tenuirostris,Listed,Calidris tenuirostris,Listed - overfly marine area,Calidris tenuirostris,,"30/10/2022, Completed","Calidris tenuirostris, Calidris tenuirostris",05-May-16,,Recovery Plan not required,Bonn Convention Listed
39,Caperea marginata,Pygmy Right Whale,B2,Caperea marginata,Animalia,Chordata,Mammalia,Cetacea,Neobalaenidae,Caperea,mammals,,,,Listed,,,,,,,,,Cetacean,,,,,,Bonn Convention Listed
88188,Carcharhinus falciformis,Silky Shark,B2,Carcharhinus falciformis,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,sharks,,,,Listed,,,,,,,,,,,,,,,Bonn Convention Listed
84108,Carcharhinus longimanus,Oceanic Whitetip Shark,B1,Carcharhinus longimanus,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,sharks,,,,Listed,,,,,,,,,,,,,,,Bonn Convention Listed
64470,Carcharodon carcharias,"White Shark, Great White Shark","B1, B2",Carcharodon carcharias,Animalia,Chordata,Chondrichthyes,Lamniformes,Lamnidae,Carcharodon,sharks,Vulnerable,Carcharodon carcharias,16-JUL-2000,Listed,,,,,,,,,,,,,06-Aug-13,Recovery Plan required,Bonn Convention Listed
1763,Caretta caretta,Loggerhead Turtle,"B1, B2C",Caretta caretta,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,reptiles,Endangered,Caretta caretta,16-JUL-2000,Listed as Cheloniidae,,,,,,,Listed,Caretta caretta,,,,,03-Jun-17,Recovery Plan required,Bonn Convention Listed
69680,Cetorhinus maximus,Basking Shark,"B1, B2",Cetorhinus maximus,Animalia,Chordata,Chondrichthyes,Lamniformes,Cetorhinidae,Cetorhinus,sharks,,,,Listed,,,,,,,,,,,,,,,Bonn Convention Listed
895,Charadrius bicinctus,Double-banded Plover,B2C,Charadrius bicinctus,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,birds,,,,Listed as Charadriidae,,,,,,,Listed - overfly marine area,Charadrius bicinctus,,,,,,,Bonn Convention Listed
877,Charadrius leschenaultii,"Greater Sand Plover, Large Sand Plover",B2C,Charadrius leschenaultii,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,birds,Vulnerable,Charadrius leschenaultii,05-MAY-2016,Listed,Listed,Charadrius leschenaultii,Listed,Charadrius leschenaultii,Listed,Charadrius leschenaultii,Listed,Charadrius leschenaultii,,"30/10/2022, Completed","Charadrius leschenaultii, Charadrius leschenaultii",05-May-16,,Recovery Plan not required,Bonn Convention Listed
