scientificName,class,family,sourceStatus,status,vernacularName,vernacularName_alt,,sensitivityZoneId
Xanthorrhoea thorntonii,Angiospermae,Liliaceae,Rare,Rare,Desert Grass-tree,,,SA
Xanthosia tasmanica,Angiospermae,Umbelliferae,Rare,Rare,Southern Xanthosia,,,SA
Xenus cinereus,,,SA: R,Rare,Terek Sandpiper   ,,,SA
Xerothamnella parvifolia,Angiospermae,Acanthaceae,Endangered,Endangered,,,,SA
Xyris operculata,Angiospermae,Xyridaceae,Rare,Rare,Tall Yellow-eye,,,SA
Zannichellia palustris,Angiospermae,Zannichelliaceae,Rare,Rare,,,,SA
Zieria veronicea,Angiospermae,Rutaceae,Rare,Rare,Pink Zieria,,,SA
Zieria veronicea,Angiospermae,Rutaceae,Rare,Rare,Pink Zieria,,,SA
Ziphius cavirostris,,,SA: R,Rare,Cuvier’s Beaked Whale (Goose-beaked Whale),,,SA
Zoothera lunulata,,,SA: R,Rare,Bassian Thrush,,,SA
Zostera muelleri,Angiospermae,Zosteraceae,Rare,Rare,Garweed,,,SA
Zoysia macrantha,Angiospermae,Gramineae,Rare,Rare,Manila Grass,,,SA
