taxonID,kingdom,class,family,scientificName,vernacularName,scientificNameAuthorship,sourceStatus,Significant,Confidential,status,Endemicity,EPBC Status
1958,Animalia,Aves,Burhinidae,Esacus magnirostris,beach stone-curlew," (Vieillot, 1818)",V,Y,N,Vulnerable,Not Endemic to Australia,
1946,Animalia,Aves,Charadriidae,Charadrius bicinctus,double-banded plover,"Jardine & Selby, 1827",SL,Y,N,Special least concern,Not Endemic to Australia,
18332,Animalia,Aves,Charadriidae,Charadrius dubius,little ringed plover,"Scopoli, 1786",SL,Y,N,Special least concern,Vagrant (Unknown),
1948,Animalia,Aves,Charadriidae,Charadrius leschenaultii,greater sand plover,"Lesson, 1826",V,Y,N,Vulnerable,Not Endemic to Australia,Vulnerable
1936,Animalia,Aves,Charadriidae,Charadrius mongolus,lesser sand plover,"Pallas, 1776",E,Y,N,Endangered,Not Endemic to Australia,Endangered
1939,Animalia,Aves,Charadriidae,Charadrius veredus,oriental plover,"Gould, 1848",SL,Y,N,Special least concern,Not Endemic to Australia,
1944,Animalia,Aves,Charadriidae,Pluvialis fulva,Pacific golden plover,"(Gmelin, 1789)",SL,Y,N,Special least concern,Not Endemic to Australia,
1931,Animalia,Aves,Charadriidae,Pluvialis squatarola,grey plover,"(Linnaeus, 1758)",SL,Y,N,Special least concern,Not Endemic to Australia,
1892,Animalia,Aves,Pedionomidae,Pedionomus torquatus,plains-wanderer,"Gould, 1841",CR,Y,N,Critically Endangered,Intranational,Critically Endangered
1883,Animalia,Aves,Rostratulidae,Rostratula australis,Australian painted-snipe,"(Gould, 1838)",E,Y,N,Endangered,Intranational,Endangered
1885,Animalia,Aves,Scolopacidae,Actitis hypoleucos,common sandpiper,"(Linnaeus, 1758)",SL,Y,N,Special least concern,Not Endemic to Australia,
1872,Animalia,Aves,Scolopacidae,Arenaria interpres,ruddy turnstone,"(Linnaeus, 1758)",SL,Y,N,Special least concern,Not Endemic to Australia,
1874,Animalia,Aves,Scolopacidae,Calidris acuminata,sharp-tailed sandpiper,"(Horsfield, 1821)",SL,Y,N,Special least concern,Not Endemic to Australia,
1875,Animalia,Aves,Scolopacidae,Calidris alba,sanderling,"(Pallas, 1764)",SL,Y,N,Special least concern,Not Endemic to Australia,
1877,Animalia,Aves,Scolopacidae,Calidris canutus,red knot,"(Linnaeus, 1758)",E,Y,N,Endangered,Not Endemic to Australia,Endangered
1863,Animalia,Aves,Scolopacidae,Calidris falcinellus,broad-billed sandpiper,"(Pontoppidan, 1763)",SL,Y,N,Special least concern,Not Endemic to Australia,
1878,Animalia,Aves,Scolopacidae,Calidris ferruginea,curlew sandpiper,"(Pontoppidan, 1763)",CR,Y,N,Critically Endangered,Not Endemic to Australia,Critically Endangered
1879,Animalia,Aves,Scolopacidae,Calidris melanotos,pectoral sandpiper,"(Vieillot, 1819)",SL,Y,N,Special least concern,Not Endemic to Australia,
1849,Animalia,Aves,Scolopacidae,Calidris pugnax,ruff,"(Linnaeus, 1758)",SL,Y,N,Special least concern,Vagrant (Unknown),
1880,Animalia,Aves,Scolopacidae,Calidris ruficollis,red-necked stint,"(Pallas, 1776)",SL,Y,N,Special least concern,Not Endemic to Australia,
1870,Animalia,Aves,Scolopacidae,Calidris subminuta,long-toed stint,"(Middendorff, 1853)",SL,Y,N,Special least concern,Vagrant (Unknown),
