scientificName,vernacularName,Current Scientific Name,status,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia,Ashmore and Cartier Islands,Cocos  Keeling  Islands,Christmas Island,Coral Sea Islands,Jervis Bay Territory,Norfolk Island,Heard and McDonald Islands,Australian Antarctic Territory,Commonwealth Marine Area,listed sprat taxonID,current sprat taxonID,kingdom,class,Profile,Date extracted,nsl name,family,genus,species,Infraspecific Rank,Infraspecies,Species Author,Infraspecies Author,sourceStatus
Acacia pharangites,Wongan Gully Wattle,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,20281,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=20281,2022-10-05,https://id.biodiversity.org.au/name/apni/68523,Fabaceae,Acacia,pharangites,-,-,Maslin,-,Endangered
Acacia phasmoides,Phantom Wattle,-,Vulnerable,-,Yes,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,2784,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=2784,2022-10-05,https://id.biodiversity.org.au/name/apni/68526,Fabaceae,Acacia,phasmoides,-,-,J.H.Willis,-,Vulnerable
Acacia pickardii,Birds Nest Wattle,-,Vulnerable,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,17259,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=17259,2022-10-05,https://id.biodiversity.org.au/name/apni/68588,Fabaceae,Acacia,pickardii,-,-,Tindale,-,Vulnerable
Acacia pinguifolia,"Fat-leaved Wattle,  Fat-leaf Wattle",-,Endangered,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,5319,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=5319,2022-10-05,https://id.biodiversity.org.au/name/apni/68635,Fabaceae,Acacia,pinguifolia,-,-,J.M.Black,-,Endangered
Acacia porcata,-,-,Endangered,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,55115,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55115,2022-10-05,https://id.biodiversity.org.au/name/apni/117478,Fabaceae,Acacia,porcata,-,-,P.I.Forst.,-,Endangered
Acacia praemorsa,Senna Wattle,-,Vulnerable,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,55363,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55363,2022-10-05,https://id.biodiversity.org.au/name/apni/117775,Fabaceae,Acacia,praemorsa,-,-,P.J.Lang  Maslin,-,Vulnerable
Acacia praetermissa,a shrub,-,Vulnerable,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14840,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=14840,2022-10-05,https://id.biodiversity.org.au/name/apni/68889,Fabaceae,Acacia,praetermissa,-,-,Tind.,-,Vulnerable
Acacia prismifolia,Diels' Wattle,-,Extinct,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,19955,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=19955,2022-10-05,https://id.biodiversity.org.au/name/apni/68966,Fabaceae,Acacia,prismifolia,-,-,E.Pritz.,-,Extinct
Acacia pubescens,"Downy Wattle, Hairy Stemmed Wattle",-,Vulnerable,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18800,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=18800,2022-10-05,https://id.biodiversity.org.au/name/apni/69166,Fabaceae,Acacia,pubescens,-,-,(Vent.) R.Br.,-,Vulnerable
Acacia pubifolia,Velvet Wattle,-,Vulnerable,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,19799,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=19799,2022-10-05,https://id.biodiversity.org.au/name/apni/69183,Fabaceae,Acacia,pubifolia,-,-,Pedley,-,Vulnerable
Acacia purpureopetala,Purple-flowered Wattle,-,Critically Endangered,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,61156,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=61156,2022-10-05,https://id.biodiversity.org.au/name/apni/168881,Fabaceae,Acacia,purpureopetala,-,-,F.M.Bailey,-,Critically Endangered
Acacia pycnostachya,Bolivia Wattle,-,Vulnerable,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,13415,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=13415,2022-10-05,https://id.biodiversity.org.au/name/apni/194179,Fabaceae,Acacia,pycnostachya,-,-,F.Muell.,-,Vulnerable
Acacia pygmaea,Dwarf Rock Wattle,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,56768,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56768,2022-10-05,https://id.biodiversity.org.au/name/apni/134921,Fabaceae,Acacia,pygmaea,-,-,Maslin,-,Endangered
Acacia recurvata,Recurved Wattle,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,64825,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64825,2022-10-05,https://id.biodiversity.org.au/name/apni/151157,Fabaceae,Acacia,recurvata,-,-,R.Cowan  Maslin,-,Endangered
