scientificName,scientificNameAuthorship,vernacularName,family,class,sourceStatus,status,EPBCA_status,sourceKingdom,kingdom,speciesGroup,,sourceOrigin,higherGeography
Engaeus granulatus ,Horwitz,Central North Burrowing Crayfish,Decapoda,Invertebrates,e,Endangered,EN,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Engaeus spinicaudatus ,Horwitz,Scottsdale Burrowing Crayfish,Decapoda,Invertebrates,e,Endangered,EN,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Hoplogonus bornemisszai ,Bartoluzzi,Bornemisszas Stag Beetle,Coleoptera,Invertebrates,e,Endangered,CR,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Leucopatus anophthalmus ,"(Ruhberg, Mesibov, Briscoe & Tait)",Blind Velvet Worm,Onychophora,Invertebrates,e,Endangered,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Lissotes latidens ,Westwood,Broad-toothed Stag Beetle,Coleoptera,Invertebrates,e,Endangered,EN,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Micropathus kiernani ,Richards,Southern Sandstone Cave Cricket,Orthoptera,Invertebrates,e,Endangered,CR,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Migas plomleyi ,Raven and Churchill,Spider (Cataract Gorge),Araneae,Invertebrates,e,Endangered,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Miselaoma weldii,(Tenison-Woods),Stanley Pinhead Snail,Sigmurethra,Invertebrates,e,Endangered,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Onchotelson spatulatus ,Nicholls,Isopod (Great Lake),Isopoda,Invertebrates,e,Endangered,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Oreisplanus munionga larana ,Olliff ,Marrawah Skipper,Lepidoptera,Invertebrates,e,Endangered,VU,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Patiriella littoralis,(Dartnell),Derwent River Seastar,Asterinidae,Invertebrates,e,Endangered,CR,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Plesiothele fentoni ,Hickman,Lake Fenton Trapdoor Spider,Araneae,Invertebrates,e,Endangered,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Schayera baiulus,Erichson,Schayer's Grasshopper,Orthoptera,Invertebrates,e,Endangered,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Smilasterias tasmaniae ,O'Loughlin and O'Hara,Bruny Island Seastar,Asterinidae,Invertebrates,e,Endangered,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Taskiria mccubbini ,Neboiss,Caddis Fly (Lake Pedder),Trichoptera,Invertebrates,e,Endangered,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Taskiropsyche lacustris ,Neboiss,Caddis Fly (Lake Pedder),Trichoptera,Invertebrates,e,Endangered,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Acanthiza pusilla archibaldi,Mathews,King Island Brown Thornbill,Birds,Vertebrates,e,Endangered,EN,Fauna,Animalia,vertebrate,,end,endemic Tasmania
Acanthornis magna greeniana,Schodde & Mason,King Island Scrubtit,Birds,Vertebrates,e,Endangered,CR,Fauna,Animalia,vertebrate,,end,endemic Tasmania
Aquila audax fleayi ,Latham,Wedge-tailed Eagle,Birds,Vertebrates,e,Endangered,EN,Fauna,Animalia,vertebrate,,end,endemic Tasmania
