taxonID,scientificName,vernacularName,status,EPBC_Threatened_Species_Listed_Name,EPBC_Threatened_Species_Date_Effective,EPBC_Act_Migratory,Bonn,Listed_Name_Bonn,CAMBA,Listed_Name_Camba,JAMBA,Listed_Name_Jamba,ROKAMBA,Listed_Name_Rokamba,Marine_Status,Listed_Name_Marine,Cetacean,Finalised_Priority_Assessment_List_FPAL_,Listed_Name_FPAL,Conservation_Advice,Recovery_Plan,Recovery_Plan_Decisions,kingdom,phylum,class,order,family,genus,taxonRemarks,ACT_NC_Act,ACT_NC_Act_Listed_Name,NSW_TSC_Act_and_FM_Act,NSW_TSC_Act_and_FM_Act_Listed_Name,NT_TPWC_Act,NT_TPWC_Act_Listed_Name,Qld_NC_Act,Qld_NC_Act_Listed_Name,SA_NPW_Act,SA_NPW_Act_Listed_Name,Tas_TSP_Act,Tas_TSP_Act_Listed_Name,Vic_FFG_Act_Advisory_Lists_,Vic_FFG_Act_Advisory_Lists_Listed_Name,WA_WC_Act,WA_WC_Act_Listed_Name,IUCN_Red_List,IUCN_Red_List_Listed_Names,Australian_Capital_Territory,New_South_Wales,Northern_Territory,Queensland,South_Australia,Tasmania,Victoria,Western_Australia,Ashmore_and_Cartier_Islands,Cocos_Keeling_Islands,Christmas_Island,Coral_Sea_Islands,Jervis_Bay_Territory,Norfolk_Island,Heard_and_McDonald_Islands,Australian_Antarctic_Territory,Commonwealth_Marine_Area
14275,Acacia latzii,Latz's Wattle,Vulnerable,Acacia latzii,16-JUL-2000,,,,,,,,,,,,,,,,08-Jan-08,Recovery Plan required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,Vulnerable,Acacia latzii,,,Rare,Acacia latzii,,,,,,,,,,,Present,,Present,,,,,,,,,,,,
4165,Acacia lauta,Tara Wattle,Vulnerable,Acacia lauta,16-JUL-2000,,,,,,,,,,,,,,,01-Oct-08,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,Vulnerable,Acacia lauta,,,,,,,,,,,,,,Endemic,,,,,,,,,,,,,
56701,Acacia leptalea,Chinocup Wattle,Endangered,Acacia leptalea,16-JUL-2000,,,,,,,,,,,,,,,,13-Nov-09,Recovery Plan required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,Vulnerable,Acacia leptalea,,,,,,,,,,Endemic,,,,,,,,,
15610,Acacia leptoneura, ,Critically Endangered,Acacia leptoneura,24-SEP-2015,,,,,,,,,,,,,Completed,Acacia leptoneura,24-Sep-15,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,Critically Endangered,Acacia leptoneura,,,,,,,,,,Present,,,,,,,,,
55567,Acacia lobulata,Chiddarcooping Wattle,Endangered,Acacia lobulata,16-JUL-2000,,,,,,,,,,,,,,,,12-Mar-10,Recovery Plan required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,Endangered,Acacia lobulata,,,,,,,,,,Endemic,,,,,,,,,
10711,Acacia macnuttiana,McNutt's Wattle,Vulnerable,Acacia macnuttiana,16-JUL-2000,,,,,,,,,,,,,,,26-Mar-08,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,Vulnerable,Acacia macnuttiana,,,,,,,,,,,,,,,,Endemic,,,,,,,,,,,,,,,
55608,Acacia meiantha, ,Endangered,Acacia meiantha,11-MAY-2018,,,,,,,,,,,,,Completed,Acacia meiantha,11-May-18,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,Endangered,Acacia meiantha,,,,,,,,,,,,,,,,Endemic,,,,,,,,,,,,,,,
9218,Acacia menzelii,Menzel's Wattle,Vulnerable,Acacia menzelii,16-JUL-2000,,,,,,,,,,,,,,,03-Jul-08,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,Vulnerable,Acacia menzelii,,,,,,,,,,,,,Endemic,,,,,,,,,,,,
8301,Acacia peuce,"Waddy, Waddi, Waddy-wood, Birdsville Wattle",Vulnerable,Acacia peuce,16-JUL-2000,,,,,,,,,,,,,,,,08-Jan-08,Recovery Plan required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,Endangered,Acacia peuce,Vulnerable,Acacia peuce,,,,,,,,,,,,,Present,Present,Present,,,,,,,,,,,,
20281,Acacia pharangites,Wongan Gully Wattle,Endangered,Acacia pharangites,16-JUL-2000,,,,,,,,,,,,,,,,12-Mar-10,Recovery Plan required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,Critically Endangered,Acacia pharangites,,,,,,,,,,Endemic,,,,,,,,,
