scientificName,vernacularName,status,sourceStatus
Geocrinia vitellina,orange-bellied frog,Vulnerable,VU
Geophaps smithii blaauwi,partridge pigeon (western),Vulnerable,VU
Geophaps smithii smithii,partridge pigeon (eastern),"Priority 4: Rare, Near Threatened",P4
Geotria australis,pouched lamprey,Priority 3: Poorly-known species,P3
Glacidorbis occidentalis,Jarrah forest freshwater snail,Priority 3: Poorly-known species,P3
Glareola maldivarum,oriental pratincole,Migratory,MI
Glossurocolletes bilobatus,a short-tongued bee (southwest),Priority 2: Poorly-known species,P2
Glyphis garricki,northern river shark,Priority 1: Poorly-known species,P1
Hadra wilsoni,Wilson's camaenid land snail (Prince Regent),Priority 2: Poorly-known species,P2
Hannia greenwayi,Greenway's grunter,Priority 1: Poorly-known species,P1
Helicarion castanea,a helicarionid land snail,Extinct,EX
Hemisaga lucifer,Devil's Slide katydid (Porongorup),Priority 2: Poorly-known species,P2
Hemisaga vepreculae,thorny bush katydid (Moora),Priority 2: Poorly-known species,P2
Hephaestus epirrhinos,long-nose sooty grunter,Priority 2: Poorly-known species,P2
Hesperocolletes douglasi,Douglas's broad-headed bee,Critically Endangered,CR
Hipposideros stenotis,northern leaf-nosed bat,Priority 2: Poorly-known species,P2
Hirundapus caudacutus,white-throated needletail,Migratory,MI
Hirundo rustica,barn swallow,Migratory,MI
Hurleya sp. (WAM C23193),Crystal Cave crangonyctoid,Critically Endangered,CR
Hydrobates matsudairae,Matsudaira's storm-petrel,Migratory,MI
Hydrobates monorhis,Swinhoe's storm-petrel,Migratory,MI
Hydromys chrysogaster,"water-rat, rakali","Priority 4: Rare, Near Threatened",P4
Hydroprogne caspia,Caspian tern,Migratory,MI
Hylaeus globuliferus,woolybush bee,Priority 3: Poorly-known species,P3
Hypseleotris aurea,golden gudgeon,Priority 2: Poorly-known species,P2
Ideoblothrus linnaei,Linnaeus' pseudoscorpion (Mesa A),Priority 1: Poorly-known species,P1
Ideoblothrus sp. 'Mesa A' (WAM T81374),an Ideoblothrus pseudoscorpion (Mesa A),Priority 1: Poorly-known species,P1
Idiosoma arenaceum,Geraldton Sandplain shield-backed trapdoor spider,Priority 3: Poorly-known species,P3
Idiosoma castellum,tree-stem trapdoor spider,"Priority 4: Rare, Near Threatened",P4
Idiosoma clypeatum,northern shield-backed trapdoor spider,Priority 3: Poorly-known species,P3
Idiosoma dandaragan,Dandaragan Plateau shield-backed trapdoor spider,Priority 2: Poorly-known species,P2
Idiosoma formosum,ornate shield-backed trapdoor spider,Endangered,EN
Idiosoma gardneri,Mt Lesueur shield-backed trapdoor spider,Priority 2: Poorly-known species,P2
Idiosoma gutharuka,Gutha Pintharuka shield-backed trapdoor spider,Priority 1: Poorly-known species,P1
Idiosoma incomptum,Carnarvon shield-backed trapdoor spider,Priority 3: Poorly-known species,P3
Idiosoma intermedium,Coolgardie shield-backed trapdoor spider,Priority 3: Poorly-known species,P3
Idiosoma kopejtkaorum,Lake Goorly shield-backed trapdoor spider,Endangered,EN
Idiosoma kwongan,Kwongan heath shield-backed trapdoor spider,Priority 1: Poorly-known species,P1
Idiosoma mcclementsorum,Julimar shield-backed trapdoor spider,Priority 2: Poorly-known species,P2
Idiosoma mcnamarai,Central-eastern Wheatbelt shield-backed trapdoor spider,Priority 1: Poorly-known species,P1
Idiosoma nigrum,shield-backed trapdoor spider,Endangered,EN
Idiosoma schoknechtorum,Mortlock River shield-backed trapdoor spider,Priority 3: Poorly-known species,P3
Idiosoma sigillatum,Swan Coastal Plain shield-backed trapdoor spider,Priority 3: Poorly-known species,P3
Indohya damocles,Cameron's Cave pseudoscorpion,Critically Endangered,CR
Isoodon auratus auratus,"golden bandicoot (mainland), wintarru",Vulnerable,VU
Isoodon auratus barrowensis,Barrow Island golden bandicoot,Vulnerable,VU
Isoodon fusciventer,"quenda, southwestern brown bandicoot","Priority 4: Rare, Near Threatened",P4
Isurus oxyrinchus,shortfin mako,Migratory,MI
Isurus paucus,longfin mako,Migratory,MI
Ixalodectes flectocercus,Beverley shield-back,Priority 3: Poorly-known species,P3
Ixobrychus dubius,Australian little bittern,"Priority 4: Rare, Near Threatened",P4
Ixobrychus flavicollis australis (southwest subpopulation),black bittern (southwest subpopulation),Priority 2: Poorly-known species,P2
Jalmenus aridus,"inland hairstreak, desert blue butterfly",Priority 1: Poorly-known species,P1
Kawaniphila pachomai,grey vernal katydid (southwest),Priority 1: Poorly-known species,P1
Kimberleyeleotris hutchinsi,Mitchell gudgeon,Priority 2: Poorly-known species,P2
Kimberleyeleotris notata,Drysdale gudgeon,Priority 2: Poorly-known species,P2
Kimboraga exanimus,lifeless camaenid land snail (Prince Regenet),Priority 3: Poorly-known species,P3
Kimboraga micromphala,a camaenid land snail (Windjana and Geiki Gorges),Priority 2: Poorly-known species,P2
Kimboraga yammerana,Yammera Gap camaenid land snail (Napier Range),Priority 1: Poorly-known species,P1
Kumonga exleyi,Cape Range remipede,Critically Endangered,CR
Kwonkan eboracum,Yorkrakine trapdoor spider,Critically Endangered,CR
Kwonkan moriartii,Moriarty's trapdoor spider,Priority 2: Poorly-known species,P2
Lagenodelphis hosei,Fraser's dolphin,Migratory,MI
Lagenorhynchus obscurus,dusky dolphin,Migratory,MI
Lagorchestes asomatus,"central hare-wallaby, kuluwarri",Extinct,EX
Lagorchestes conspicillatus conspicillatus,Barrow Island spectacled hare-wallaby,Vulnerable,VU
Lagorchestes conspicillatus leichardti,spectacled hare-wallaby (mainland),"Priority 4: Rare, Near Threatened",P4
Lagorchestes hirsutus bernieri,"Shark Bay rufous hare-wallaby, rufous hare-wallaby (Bernier and Dorre Islands)",Vulnerable,VU
Lagorchestes hirsutus hirsutus,rufous hare-wallaby (south-western),Extinct,EX
Lagorchestes hirsutus subsp. (Central Australia),"rufous hare-wallaby (Central Australia), mala",Endangered,EN
Lagostrophus fasciatus fasciatus,"banded hare-wallaby, mernine",Vulnerable,VU
Lagynochthonius asema,Mesa A Lagynochthonius pseudoscorpion,Priority 1: Poorly-known species,P1
Lamna nasus,"porbeagle, mackerel shark",Migratory,MI
Leggadina lakedownensis,"northern short-tailed mouse, Lakeland Downs mouse, kerakenga","Priority 4: Rare, Near Threatened",P4
Leiopotherapon aheneus,Fortescue grunter,"Priority 4: Rare, Near Threatened",P4
Leiopotherapon macrolepis,large-scale grunter,Priority 2: Poorly-known species,P2
Leioproctus contrarius,a short-tongued bee,Priority 3: Poorly-known species,P3
Leioproctus douglasiellus,a short-tongued bee,Endangered,EN
Leipoa ocellata,malleefowl,Vulnerable,VU
