scientificName,Common Name,sourceStatus,status
Tetratheca spartea,,P2,Priority 2: Poorly-known species
Tetratheca spenceri,,VU,Vulnerable
Teucrium diabolicum,,P3,Priority 3: Poorly-known species
Teucrium grandiusculum subsp. grandiusculum,,P2,Priority 2: Poorly-known species
Teucrium pilbaranum,,P2,Priority 2: Poorly-known species
Teucrium sp. Hutt River (W.H. Butler 54),,P1,Priority 1: Poorly-known species
Teucrium sp. Sturt Creek (A.A. Mitchell 5536),,P1,Priority 1: Poorly-known species
Thaumastochloa brassii,,P2,Priority 2: Poorly-known species
Thelymitra apiculata,,P4,"Priority 4: Rare, Near Threatened"
Thelymitra dedmaniarum,Cinnamon Sun Orchid,CR,Critically Endangered
Thelymitra jacksonii,Jackson's Sun Orchid,P3,Priority 3: Poorly-known species
Thelymitra magnifica,Crystal Brook Star Orchid,CR,Critically Endangered
Thelymitra porphyrosticta,,P2,Priority 2: Poorly-known species
Thelymitra psammophila,Sandplain Sunorchid,VU,Vulnerable
Thelymitra pulcherrima,,P2,Priority 2: Poorly-known species
Thelymitra sp. Ongerup (S. Oborne 142),,P3,Priority 3: Poorly-known species
Thelymitra stellata,Star Sunorchid,EN,Endangered
Thelymitra variegata,Queen of Sheba,P2,Priority 2: Poorly-known species
Thelymitra yorkensis,York Sun Orchid,P3,Priority 3: Poorly-known species
Themeda sp. Hamersley Station (M.E. Trudgen 11431),,P3,Priority 3: Poorly-known species
Themeda sp. Panorama (J. Nelson et al. NS 102),,P1,Priority 1: Poorly-known species
Thespidium basiflorum,,P1,Priority 1: Poorly-known species
Thomasia brachystachys,,P2,Priority 2: Poorly-known species
Thomasia dielsii,,P1,Priority 1: Poorly-known species
Thomasia gardneri,Mt Holland Thomasia,EX,Extinct
Thomasia glabripetala,Sandplain Thomasia,VU,Vulnerable
Thomasia julietiae,,P1,Priority 1: Poorly-known species
Thomasia montana,Hill Thomasia,VU,Vulnerable
Thomasia multiflora,,P1,Priority 1: Poorly-known species
Thomasia purpurea x solanacea,,P1,Priority 1: Poorly-known species
Thomasia pygmaea,Tiny Thomasia,P3,Priority 3: Poorly-known species
Thomasia quercifolia,Oak Leaved Thomasia,P4,"Priority 4: Rare, Near Threatened"
Thomasia solanacea,,P4,"Priority 4: Rare, Near Threatened"
Thomasia sp. Green Hill (S. Paust 1322),,CR,Critically Endangered
Thomasia sp. Hopetoun (K.R. Newbey 4896),,P2,Priority 2: Poorly-known species
Thomasia tenuivestita,,P3,Priority 3: Poorly-known species
Thomasia triloba,,P1,Priority 1: Poorly-known species
Thomasia x formosa,,P1,Priority 1: Poorly-known species
Thryptomene caduca,,P3,Priority 3: Poorly-known species
Thryptomene calcicola,,P2,Priority 2: Poorly-known species
Thryptomene duplicata,,P1,Priority 1: Poorly-known species
Thryptomene eremaea,,P2,Priority 2: Poorly-known species
Thryptomene hubbardii,,P3,Priority 3: Poorly-known species
Thryptomene johnsonii,,P2,Priority 2: Poorly-known species
Thryptomene nealensis,,P3,Priority 3: Poorly-known species
Thryptomene nitida,,P3,Priority 3: Poorly-known species
Thryptomene orbiculata,,P3,Priority 3: Poorly-known species
Thryptomene pinifolia,,P2,Priority 2: Poorly-known species
Thryptomene planiflora,,P1,Priority 1: Poorly-known species
Thryptomene repens,,P2,Priority 2: Poorly-known species
Thryptomene salina,,P1,Priority 1: Poorly-known species
Thryptomene shirleyae,,P2,Priority 2: Poorly-known species
Thryptomene sp. Carrarang (M.E. Trudgen 7420),,P1,Priority 1: Poorly-known species
Thryptomene sp. Coolgardie (E. Kelso s.n. 1902),,P1,Priority 1: Poorly-known species
Thryptomene sp. Eagle Gorge (A.G. Gunness 2360),,P2,Priority 2: Poorly-known species
Thryptomene sp. Hyden (B.J. Lepschi & L.A. Craven 4477),,P1,Priority 1: Poorly-known species
Thryptomene sp. Lancelin (M.E. Trudgen 14000),,P3,Priority 3: Poorly-known species
Thryptomene sp. Leinster (B.J. Lepschi & L.A. Craven 4362),,P3,Priority 3: Poorly-known species
Thryptomene sp. Mt Clara (R.J. Cranfield 11702),,P1,Priority 1: Poorly-known species
Thryptomene sp. Wandana (M.E. Trudgen MET 22016),,P3,Priority 3: Poorly-known species
Thryptomene sp. Warburton (M. Henson & M. Hannart 32433),,P1,Priority 1: Poorly-known species
Thryptomene spicata,,P2,Priority 2: Poorly-known species
Thryptomene stapfii,,P3,Priority 3: Poorly-known species
Thryptomene stenophylla,,P2,Priority 2: Poorly-known species
Thryptomene striata,,P2,Priority 2: Poorly-known species
Thryptomene velutina,,P2,Priority 2: Poorly-known species
Thryptomene wannooensis,,P1,Priority 1: Poorly-known species
Thryptomene wittweri,Mountain Thryptomene,VU,Vulnerable
Thysanotus acerosifolius,,P2,Priority 2: Poorly-known species
Thysanotus anceps,,P3,Priority 3: Poorly-known species
Thysanotus banksii,,P1,Priority 1: Poorly-known species
Thysanotus baueri,,P1,Priority 1: Poorly-known species
Thysanotus brachiatus,,P2,Priority 2: Poorly-known species
Thysanotus brachyantherus,,P2,Priority 2: Poorly-known species
Thysanotus brevifolius,,P2,Priority 2: Poorly-known species
Thysanotus cymosus,,P3,Priority 3: Poorly-known species
Thysanotus formosus,,P1,Priority 1: Poorly-known species
Thysanotus fragrans,,P2,Priority 2: Poorly-known species
Thysanotus gageoides,,P3,Priority 3: Poorly-known species
Thysanotus glaucus,,P4,"Priority 4: Rare, Near Threatened"
Thysanotus isantherus,,P4,"Priority 4: Rare, Near Threatened"
Thysanotus kalbarriensis,,P2,Priority 2: Poorly-known species
Thysanotus lavanduliflorus,,P1,Priority 1: Poorly-known species
Thysanotus parviflorus,,P4,"Priority 4: Rare, Near Threatened"
Thysanotus sabulosus,,P1,Priority 1: Poorly-known species
Thysanotus sp. Desert East of Newman (R.P. Hart 964),,P2,Priority 2: Poorly-known species
Thysanotus sp. Ennuin (N. Gibson & M. Lyons 2665),,P1,Priority 1: Poorly-known species
Thysanotus sp. Mount Madden (G.F. Craig 10516),,P1,Priority 1: Poorly-known species
Thysanotus sp. Yellowdine (A.S. George 6040),,P2,Priority 2: Poorly-known species
Thysanotus tenuis,,P3,Priority 3: Poorly-known species
Thysanotus unicupensis,,P3,Priority 3: Poorly-known species
Thysanotus vernalis,,P3,Priority 3: Poorly-known species
Thysanotus volubilis,,P2,Priority 2: Poorly-known species
Tinospora esiangkara,,P2,Priority 2: Poorly-known species
Trachymene anisocarpa var. trichocarpa,,P3,Priority 3: Poorly-known species
Trachymene croniniana,,P3,Priority 3: Poorly-known species
Trachymene dusenii,,P3,Priority 3: Poorly-known species
Trachymene oleracea subsp. sedimentum,,P1,Priority 1: Poorly-known species
Trachymene pavimentum,Pavement Laceflower,P1,Priority 1: Poorly-known species
Trachymene pyrophila,,P2,Priority 2: Poorly-known species
Trachymene villosa,,P1,Priority 1: Poorly-known species
Trianthema kimberleyi,,P1,Priority 1: Poorly-known species
Trianthema sp. Bachsten Creek (R.L. Barrett & M.D. Barrett RLB 3824),,P2,Priority 2: Poorly-known species
Trianthema sp. Mitchell Plateau (P.A. Fryxell et al. 4723),,P1,Priority 1: Poorly-known species
Trianthema sp. Python Pool (G.R. Guerin & M.E. Trudgen GG 1023),,P2,Priority 2: Poorly-known species
Tribonanthes minor,Salt-lake Tiurndin,P3,Priority 3: Poorly-known species
Tribonanthes purpurea,Granite Pink,VU,Vulnerable
Tribulopis marliesiae,Eichler's Tribulopis,P3,Priority 3: Poorly-known species
Tribulopis sp. Koolan Island (K.F. Kenneally 8278),,P1,Priority 1: Poorly-known species
Tribulopis sp. Mitchell Plateau (K.F. Kenneally 7935),,P1,Priority 1: Poorly-known species
Tribulus adelacanthus,,P3,Priority 3: Poorly-known species
Tribulus minutus,,P1,Priority 1: Poorly-known species
Trichosanthes pilosa,,P1,Priority 1: Poorly-known species
Trichosternus relictus,a ground beetle (Margaret River),P3,Priority 3: Poorly-known species
Tricoryne soullierae,,P1,Priority 1: Poorly-known species
Tricoryne sp. Bimbijy (G.J. Keighery & N. Gibson 7108),,P2,Priority 2: Poorly-known species
Tricoryne sp. Geraldton (G.J. Keighery 10461),,P1,Priority 1: Poorly-known species
Tricoryne sp. Wongan Hills (B.H. Smith 794),,P2,Priority 2: Poorly-known species
Tricostularia davisii,,P3,Priority 3: Poorly-known species
Tricostularia drummondii,,P3,Priority 3: Poorly-known species
Tricostularia lepschii,,P2,Priority 2: Poorly-known species
Tricostularia sandifordiana,,P3,Priority 3: Poorly-known species
"Tricostularia sp. Mogumber (A. Harris s.n., 23/12/2015)",,P2,Priority 2: Poorly-known species
Tricostularia sp. Porongurup (I. Abbott 18),,P1,Priority 1: Poorly-known species
Tricostularia sp. Two Peoples Bay (G. Wardell-Johnson GWJ 114),,P2,Priority 2: Poorly-known species
Triglochin protuberans,,P3,Priority 3: Poorly-known species
Triglochin sp. Condingup (R. Davis 10877),,P2,Priority 2: Poorly-known species
Triodia acutispicula,,P3,Priority 3: Poorly-known species
Triodia aeria,,P4,"Priority 4: Rare, Near Threatened"
Triodia barbata,,P1,Priority 1: Poorly-known species
Triodia basitricha,Pilbara Curly Spinifex,P3,Priority 3: Poorly-known species
Triodia birriliburu,,P3,Priority 3: Poorly-known species
Triodia bromoides,,P4,"Priority 4: Rare, Near Threatened"
Triodia bunglensis,,P2,Priority 2: Poorly-known species
Triodia celsa,Mount Trafalgar Spinifex,P2,Priority 2: Poorly-known species
Triodia chichesterensis,,P3,Priority 3: Poorly-known species
Triodia cremnophila,,P1,Priority 1: Poorly-known species
Triodia cunninghamii,,P1,Priority 1: Poorly-known species
Triodia diantha,Phillips Range Spinifex,P1,Priority 1: Poorly-known species
Triodia dielsii,,P3,Priority 3: Poorly-known species
Triodia fissura,,P1,Priority 1: Poorly-known species
Triodia fitzgeraldii,,P1,Priority 1: Poorly-known species
Triodia infesta,,P2,Priority 2: Poorly-known species
Triodia latzii,,P3,Priority 3: Poorly-known species
Triodia mallota,,P1,Priority 1: Poorly-known species
Triodia nana,,P1,Priority 1: Poorly-known species
Triodia pascoeana,,P1,Priority 1: Poorly-known species
Triodia pisoliticola,Mesa Spinifex,P3,Priority 3: Poorly-known species
Triodia plurinervata,,P3,Priority 3: Poorly-known species
Triodia prona,,P1,Priority 1: Poorly-known species
Triodia racemigera,Rock Spinifex,P1,Priority 1: Poorly-known species
Triodia roscida,,P1,Priority 1: Poorly-known species
Triodia sp. De Grey River (M.D. Barrett & B.M. Anderson MDB 4432),,P1,Priority 1: Poorly-known species
Triodia sp. Hidden Island (T. Handasyde TH 6109),,P1,Priority 1: Poorly-known species
Triodia sp. Karijini (S. van Leeuwen 4111),,P1,Priority 1: Poorly-known species
Triodia sp. Kurungal (A.B. Craig ABC 1675),,P1,Priority 1: Poorly-known species
Triodia sp. Mt Ella (M.E. Trudgen 12739),,P3,Priority 3: Poorly-known species
Triodia sp. Prince Regent River (R.L. Barrett & M.D. Barrett RLB 3680),,P2,Priority 2: Poorly-known species
Triodia sp. Silvergrass (P.-L. de Kock BES 00808),,P1,Priority 1: Poorly-known species
Triodia sp. Theda (M.D. Barrett & R.L. Barrett MDB 2143),,P1,Priority 1: Poorly-known species
Triodia triticoides,,P1,Priority 1: Poorly-known species
Triodia veniciae,,P1,Priority 1: Poorly-known species
Tripterococcus sp. Brachylobus (A.S. George 14234),,P4,"Priority 4: Rare, Near Threatened"
Trithuria australis,,P4,"Priority 4: Rare, Near Threatened"
Trithuria occidentalis,Swan Hydatella,EN,Endangered
Trithuria polybracteata,,P1,Priority 1: Poorly-known species
Triumfetta aspera,,P2,Priority 2: Poorly-known species
Triumfetta echinata,,P3,Priority 3: Poorly-known species
Triumfetta fissurata,,P1,Priority 1: Poorly-known species
Triumfetta hapala,,P1,Priority 1: Poorly-known species
Triumfetta mitchellii,,P3,Priority 3: Poorly-known species
Triumfetta pustulata,,P1,Priority 1: Poorly-known species
Triumfetta rubiginosa,,P2,Priority 2: Poorly-known species
Triumfetta rupestris,,P1,Priority 1: Poorly-known species
Triumfetta saccata,,P1,Priority 1: Poorly-known species
Triumfetta sp. Mt Bomford (M.D. Barrett MDB 1001),,P1,Priority 1: Poorly-known species
Triumfetta trisecta,,P1,Priority 1: Poorly-known species
Trymalium densiflorum,,P1,Priority 1: Poorly-known species
Trymalium litorale,,P1,Priority 1: Poorly-known species
Trymalium monospermum,,P2,Priority 2: Poorly-known species
Trymalium myrtillus subsp. pungens,,P1,Priority 1: Poorly-known species
Typhonium sp. Kununurra (A.N. Start ANS 1467),,EN,Endangered
Typhonium sp. Middle Creek (M.D. Barrett MDB 3246),,P1,Priority 1: Poorly-known species
Typhonium sp. Morgan River (M.D. Barrett & R.L. Barrett MDB 2265),,P1,Priority 1: Poorly-known species
Typhonium sp. Prince Regent River (R.L. Barrett & M.D. Barrett RLB 1716),,P3,Priority 3: Poorly-known species
Typhonium sp. Theda (M.D. Barrett & R.L. Barrett MDB 1504),,P1,Priority 1: Poorly-known species
Urochloa polyphylla,,P1,Priority 1: Poorly-known species
Urodon capitatus,,P3,Priority 3: Poorly-known species
Urodon sp. Narkal (B.H. Smith 1440),,P1,Priority 1: Poorly-known species
Usnea pulvinata,,P1,Priority 1: Poorly-known species
Utricularia albertiana,,P1,Priority 1: Poorly-known species
Utricularia aurea,Golden Bladderwort,P2,Priority 2: Poorly-known species
Utricularia baliboongarnang,,P2,Priority 2: Poorly-known species
Utricularia bidentata,,P3,Priority 3: Poorly-known species
Utricularia byrneana,,P1,Priority 1: Poorly-known species
Utricularia circumvoluta,,P1,Priority 1: Poorly-known species
Utricularia cowiei,,P1,Priority 1: Poorly-known species
Utricularia dunlopii,,P1,Priority 1: Poorly-known species
Utricularia hamata,,P1,Priority 1: Poorly-known species
Utricularia helix,,P2,Priority 2: Poorly-known species
Utricularia magna,,P2,Priority 2: Poorly-known species
Utricularia muelleri,,P3,Priority 3: Poorly-known species
Utricularia oppositiflora,,P3,Priority 3: Poorly-known species
Utricularia papilliscapa,,P2,Priority 2: Poorly-known species
Utricularia stellaris,,P1,Priority 1: Poorly-known species
Utricularia tridactyla,,P1,Priority 1: Poorly-known species
Utricularia tubulata,,P1,Priority 1: Poorly-known species
Utricularia wannanii,,P2,Priority 2: Poorly-known species
Utricularia westonii,,P2,Priority 2: Poorly-known species
Uvedalia clementii,,P1,Priority 1: Poorly-known species
Vallisneria sp. Weelarrana (M.N. Lyons & S.D. Lyons 3050),,P1,Priority 1: Poorly-known species
Verticordia aereiflora,,P2,Priority 2: Poorly-known species
Verticordia albida,White Featherflower,CR,Critically Endangered
Verticordia amphigia,,P3,Priority 3: Poorly-known species
Verticordia apecta,"Hay River Featherflower, Scruffy Verticordia",CR,Critically Endangered
Verticordia argentea,,P2,Priority 2: Poorly-known species
Verticordia attenuata,,P3,Priority 3: Poorly-known species
Verticordia aurea,,P4,"Priority 4: Rare, Near Threatened"
Verticordia brevifolia subsp. brevifolia,,P3,Priority 3: Poorly-known species
Verticordia brevifolia subsp. stirlingensis,,P2,Priority 2: Poorly-known species
Verticordia capillaris,,P4,"Priority 4: Rare, Near Threatened"
Verticordia carinata,Stirling Range Featherflower,VU,Vulnerable
Verticordia chrysostachys var. pallida,,P3,Priority 3: Poorly-known species
Verticordia citrella,,P2,Priority 2: Poorly-known species
Verticordia comosa,,P1,Priority 1: Poorly-known species
Verticordia cooloomia,,P3,Priority 3: Poorly-known species
Verticordia coronata,,P3,Priority 3: Poorly-known species
Verticordia crebra,,VU,Vulnerable
Verticordia dasystylis subsp. dasystylis,,P2,Priority 2: Poorly-known species
Verticordia dasystylis subsp. kalbarriensis,,P2,Priority 2: Poorly-known species
Verticordia dasystylis subsp. oestopoia,,P1,Priority 1: Poorly-known species
Verticordia densiflora var. pedunculata,Longstalked Featherflower,EN,Endangered
Verticordia densiflora var. roseostella,,P3,Priority 3: Poorly-known species
Verticordia dichroma var. dichroma,,P3,Priority 3: Poorly-known species
Verticordia dichroma var. syntoma,,P3,Priority 3: Poorly-known species
Verticordia elizabethiae,,P1,Priority 1: Poorly-known species
Verticordia endlicheriana var. angustifolia,,P3,Priority 3: Poorly-known species
Verticordia fimbrilepis subsp. australis,Southern Shy Featherflower,EN,Endangered
Verticordia fimbrilepis subsp. fimbrilepis,Shy Featherflower,VU,Vulnerable
Verticordia fragrans,,P3,Priority 3: Poorly-known species
Verticordia galeata,,P2,Priority 2: Poorly-known species
Verticordia gracilis,,P3,Priority 3: Poorly-known species
Verticordia halophila,,P2,Priority 2: Poorly-known species
Verticordia harveyi,Autumn Featherflower,P4,"Priority 4: Rare, Near Threatened"
Verticordia helichrysantha,Barrens Featherflower,VU,Vulnerable
Verticordia huegelii var. tridens,,P3,Priority 3: Poorly-known species
Verticordia hughanii,Hughan's Featherflower,EN,Endangered
Verticordia insignis subsp. eomagis,,P3,Priority 3: Poorly-known species
Verticordia integra,,P4,"Priority 4: Rare, Near Threatened"
Verticordia jamiesonii,,P3,Priority 3: Poorly-known species
Verticordia lehmannii,,P4,"Priority 4: Rare, Near Threatened"
Verticordia lepidophylla var. quantula,,P1,Priority 1: Poorly-known species
Verticordia lindleyi subsp. lindleyi,,P4,"Priority 4: Rare, Near Threatened"
Verticordia longistylis,,P3,Priority 3: Poorly-known species
Verticordia luteola var. luteola,,P3,Priority 3: Poorly-known species
Verticordia luteola var. rosea,,P1,Priority 1: Poorly-known species
Verticordia mirabilis,,P1,Priority 1: Poorly-known species
Verticordia mitchelliana subsp. mitchelliana,,P3,Priority 3: Poorly-known species
Verticordia mitodes,,P3,Priority 3: Poorly-known species
Verticordia muelleriana subsp. minor,,P2,Priority 2: Poorly-known species
Verticordia muelleriana subsp. muelleriana,,P3,Priority 3: Poorly-known species
Verticordia multiflora subsp. solox,,P2,Priority 2: Poorly-known species
Verticordia paludosa,,P4,"Priority 4: Rare, Near Threatened"
Verticordia penicillaris,,P4,"Priority 4: Rare, Near Threatened"
Verticordia pityrhops,"Little Pine Verticordia, Pinelike Featherflower",EN,Endangered
Verticordia plumosa var. ananeotes,Tufted Plumed Featherflower,CR,Critically Endangered
Verticordia plumosa var. vassensis,Vasse Featherflower,EN,Endangered
Verticordia polytricha,Northern Cauliflower,P4,"Priority 4: Rare, Near Threatened"
Verticordia pulchella,,P2,Priority 2: Poorly-known species
Verticordia roei subsp. meiogona,,P1,Priority 1: Poorly-known species
Verticordia rutilastra,,P3,Priority 3: Poorly-known species
Verticordia serotina,,P2,Priority 2: Poorly-known species
Verticordia serrata var. linearis,,P3,Priority 3: Poorly-known species
Verticordia serrata var. Udumung (D. Hunter & B. Yarran 941006),,P2,Priority 2: Poorly-known species
Verticordia setacea,,P2,Priority 2: Poorly-known species
Verticordia sieberi var. pachyphylla,,P1,Priority 1: Poorly-known species
Verticordia sp. Dundas (C.A. Gardner 2848),,P1,Priority 1: Poorly-known species
Verticordia spicata subsp. squamosa,Scalyleaved Featherflower,CR,Critically Endangered
Verticordia staminosa subsp. cylindracea var. cylindracea,,VU,Vulnerable
Verticordia staminosa subsp. cylindracea var. erecta,,CR,Critically Endangered
Verticordia staminosa subsp. staminosa,Wongan Featherflower,CR,Critically Endangered
Verticordia stenopetala,,P3,Priority 3: Poorly-known species
Verticordia venusta,,P3,Priority 3: Poorly-known species
Verticordia verticordina,,P3,Priority 3: Poorly-known species
Verticordia wonganensis,,P2,Priority 2: Poorly-known species
Verticordia x eurardyensis,,P1,Priority 1: Poorly-known species
Vigna triodiophila,,P3,Priority 3: Poorly-known species
Vincetoxicum polyanthum,,P1,Priority 1: Poorly-known species
Viscum articulatum,,P1,Priority 1: Poorly-known species
Viscum ovalifolium,,P1,Priority 1: Poorly-known species
Viscum whitei subsp. flexicaule,,P2,Priority 2: Poorly-known species
Vittadinia blackii,,P2,Priority 2: Poorly-known species
Vittadinia cervicularis var. occidentalis,,P1,Priority 1: Poorly-known species
Vittadinia cervicularis var. oldfieldii,,P1,Priority 1: Poorly-known species
Vittadinia pustulata,,P3,Priority 3: Poorly-known species
Vittadinia sp. A Kimberley Flora (R.J. Cranfield 6527),,P3,Priority 3: Poorly-known species
Vittadinia sp. Coondewanna Flats (S. van Leeuwen 4684),,P3,Priority 3: Poorly-known species
Walteranthus erectus,,P2,Priority 2: Poorly-known species
Warnstorfia fluitans,,P2,Priority 2: Poorly-known species
Westringia acifolia,,P1,Priority 1: Poorly-known species
Westringia fitzgeraldensis,,P2,Priority 2: Poorly-known species
Westringia ophioglossa,,P1,Priority 1: Poorly-known species
Whiteochloa capillipes,,P1,Priority 1: Poorly-known species
Whiteochloa sp. Hann River (Aplin et al. 917),,P1,Priority 1: Poorly-known species
Wurmbea calcicola,Naturaliste Nancy,VU,Vulnerable
Wurmbea fluviatilis,,P2,Priority 2: Poorly-known species
Wurmbea murchisoniana,,P4,"Priority 4: Rare, Near Threatened"
Wurmbea saccata,,P3,Priority 3: Poorly-known species
Wurmbea sp. Cranbrook (A.R. Annels 3819),,P3,Priority 3: Poorly-known species
Wurmbea sp. Denham Pool (F. Hort et al. 2216),,P1,Priority 1: Poorly-known species
Wurmbea sp. Muggon (T.D. Macfarlane & R. Davis TDM 3336),,P1,Priority 1: Poorly-known species
Wurmbea tubulosa,Long-flowered Nancy,VU,Vulnerable
Xanthoparmelia darlingensis,,P1,Priority 1: Poorly-known species
Xanthoparmelia dayiana,,P3,Priority 3: Poorly-known species
Xanthoparmelia fumigata,,P2,Priority 2: Poorly-known species
Xanthoparmelia gerhardii,,P2,Priority 2: Poorly-known species
Xanthoparmelia hypoleiella,,P3,Priority 3: Poorly-known species
Xanthoparmelia kondininensis,,P2,Priority 2: Poorly-known species
Xanthoparmelia louisii,,P2,Priority 2: Poorly-known species
Xanthoparmelia nashii,,P3,Priority 3: Poorly-known species
Xanthoparmelia norpraegnans,,P2,Priority 2: Poorly-known species
Xanthoparmelia norpumila,,P2,Priority 2: Poorly-known species
Xanthoparmelia sammyi,,P1,Priority 1: Poorly-known species
Xanthoparmelia sargentii,,P1,Priority 1: Poorly-known species
Xanthoparmelia scabrosina,,P1,Priority 1: Poorly-known species
Xanthoparmelia subalpina,,P2,Priority 2: Poorly-known species
Xanthoparmelia subbarbatica,,P1,Priority 1: Poorly-known species
Xanthoparmelia subimitatrix,,P3,Priority 3: Poorly-known species
Xanthoparmelia xanthomelanoides,,P2,Priority 2: Poorly-known species
Xanthorrhoea brevistyla,,P4,"Priority 4: Rare, Near Threatened"
Xanthosia collina,,P3,Priority 3: Poorly-known species
Xanthosia eichleri,,P4,"Priority 4: Rare, Near Threatened"
Xanthosia peduncularis,,P3,Priority 3: Poorly-known species
Xanthosia tomentosa,Lesueur Southern Cross,P4,"Priority 4: Rare, Near Threatened"
Xanthostemon psidioides,,P2,Priority 2: Poorly-known species
Xanthostemon umbrosus,,P1,Priority 1: Poorly-known species
Xerochrysum boreale,,P3,Priority 3: Poorly-known species
Xyris exilis,Stirling Range Xyris,EN,Endangered
Xyris maxima,,P2,Priority 2: Poorly-known species
Zehneria mucronata,,P1,Priority 1: Poorly-known species
Zeuxine oblonga,Common jewel orchid,P2,Priority 2: Poorly-known species
Zornia areolata,,P1,Priority 1: Poorly-known species
Zornia sp. West Kimberley (C.A. Gardner 9942),,P3,Priority 3: Poorly-known species
Abebaioscia troglodytes,Pannikin Plain Cave isopod,VU,Vulnerable
Acanthophis antarcticus,Southern Death Adder,P3,Priority 3: Poorly-known species
Acercella poorginup,Poorginup Swamp Watermite,P2,Priority 2: Poorly-known species
Acizzia mccarthyi,McCarthy's plant-louse,VU,Vulnerable
Acizzia veski,Vesk's plant-louse,VU,Vulnerable
Acrocephalus orientalis,Oriental Reed Warbler,MI,Migratory
Actitis hypoleucos,Common Sandpiper,MI,Migratory
Aipysurus apraefrontalis,Short-nosed Seasnake,CR,Critically Endangered
Aipysurus foliosquama,Leaf-scaled Seasnake,CR,Critically Endangered
Amplirhagada astuta,a camaenid land snail (Koolan and Molema Islands),VU,Vulnerable
Amplirhagada herbertena,Herbert's camaenid land snail (Buccaneer Archipelago),P1,Priority 1: Poorly-known species
Amplirhagada montalivetensis,Montalivet Island camaenid land snail,P1,Priority 1: Poorly-known species
Amplirhagada novelta,a camaenid land snail (Napier-Broome Bay),P1,Priority 1: Poorly-known species
Amplirhagada questroana,El Questro Station camaenid land snail,P1,Priority 1: Poorly-known species
Amytornis housei,black grasswren,P4,"Priority 4: Rare, Near Threatened"
Amytornis striatus striatus,striated grasswren (sandplain),P4,"Priority 4: Rare, Near Threatened"
Amytornis textilis textilis,western grasswren,P4,"Priority 4: Rare, Near Threatened"
Anilios ganei,Gane's blind snake (Pilbara),P1,Priority 1: Poorly-known species
Anilios howi,Kimberley deep-soil blind snake (Admiralty Gulf),P2,Priority 2: Poorly-known species
Anilios longissimus,Barrow Island blind snake,P2,Priority 2: Poorly-known species
Anilios margaretae,buff snouted blind snake (Lake Throssell),P2,Priority 2: Poorly-known species
Anilios micromma,small-eyed blind snake (Leopold Downs),P1,Priority 1: Poorly-known species
Anilios sp. (Cape Range),Cape Range blind snake,P1,Priority 1: Poorly-known species
Anilios splendidus,splendid blind snake (North West Cape),P2,Priority 2: Poorly-known species
Anilios troglodytes,Sandamara blind snake (Napier Range),P1,Priority 1: Poorly-known species
Anilios yampiensis,Yampi blind snake (Yampi Sound),P2,Priority 2: Poorly-known species
Anous stolidus,common noddy,MI,Migratory
Anous stolidus pileatus,Common Noddy,Subsp of MI,Migratory
Anous tenuirostris melanops,Australian Lesser Noddy,EN,Endangered
Anoxypristis cuspidata,narrow sawfish,MI,Migratory
Anstisia alba,,CR,Critically Endangered
Anstisia lutea,,P4,"Priority 4: Rare, Near Threatened"
Anstisia vitellina,,VU,Vulnerable
Antichiropus cirratus,,P1,Priority 1: Poorly-known species
Antichiropus filiolus,,P1,Priority 1: Poorly-known species
Antichiropus forcipatus,,P1,Priority 1: Poorly-known species
Antichiropus lucyae,,P1,Priority 1: Poorly-known species
Antichiropus nimbus,,P1,Priority 1: Poorly-known species
Antichiropus pendiculus,,P1,Priority 1: Poorly-known species
Antichiropus sloanae,,P1,Priority 1: Poorly-known species
Antichiropus sp. 'DIP004',Roy Hill Antichiropus millipede,P1,Priority 1: Poorly-known species
Antichiropus sp. 'DIP005',Abydos Antichiropus millipede,P1,Priority 1: Poorly-known species
Antichiropus sp. 'DIP006',Area C Antichiropus millipede,P1,Priority 1: Poorly-known species
Antichiropus sp. 'DIP007',Bond's Antichiropus millipede,P1,Priority 1: Poorly-known species
Antichiropus sp. 'DIP008',Flinders Antichiropus millipede,P1,Priority 1: Poorly-known species
Antichiropus sp. 'DIP013',Cloudbreak Antichiropus millipede,P1,Priority 1: Poorly-known species
Antichiropus sp. 'DIP029',Mt Bruce Antichiropus millipede,P1,Priority 1: Poorly-known species
Antipodogomphus hodgkini,Pilbara dragonfly,P3,Priority 3: Poorly-known species
Aprasia haroldi,Shark Bay Worm-lizard,P1,Priority 1: Poorly-known species
Aprasia rostrata,Ningaloo worm lizard,P3,Priority 3: Poorly-known species
Apus pacificus,fork-tailed swift,MI,Migratory
Apus pacificus pacificus,,Subsp. of MI,Migratory
Arctocephalus forsteri,"New Zealand fur seal, long-nosed fur seal",OS,Other Specially Protected
Arctocephalus tropicalis,Subantarctic Furseal,VU,Vulnerable
Ardenna carneipes,flesh-footed shearwater,VU,Vulnerable
Ardenna grisea,Sooty Shearwater,MI,Migratory
Ardenna pacifica,Wedge-tailed Shearwater,MI,Migratory
Ardenna tenuirostris,Short-tailed Shearwater,MI,Migratory
Arenaria interpres,Ruddy Turnstone,MI,Migratory
Arenaria interpres interpres,Ruddy Turnstone,Subsp. of MI,Migratory
Aspidites ramsayi (southwest subpopulation),woma (southwest subpopulation),P1,Priority 1: Poorly-known species
Atelomastix anancita,Cape Arid atelomastix millipede,VU,Vulnerable
