scientificName,Common Name,sourceStatus,status
Amanita preissii,Cinnamon-ring Lepidella,P3,Priority 3: Poorly-known species
Amanita quenda,,P1,Priority 1: Poorly-known species
Amanita validiuscula,,P2,Priority 2: Poorly-known species
Amanita wadjukiorum,,P3,Priority 3: Poorly-known species
Amanita wadulawitu,Long-spored Lepidella,P2,Priority 2: Poorly-known species
Amanita walpolei,,P2,Priority 2: Poorly-known species
Amaranthus centralis,,P3,Priority 3: Poorly-known species
Amorphophallus galbra,,P3,Priority 3: Poorly-known species
Ampelopteris prolifera,,P3,Priority 3: Poorly-known species
Amperea micrantha,,P2,Priority 2: Poorly-known species
Amphibromus vickeryae,,P1,Priority 1: Poorly-known species
Amphidium tortuosum,,P1,Priority 1: Poorly-known species
Amyema pyriformis,,P1,Priority 1: Poorly-known species
"Anacampseros sp. Eremaean (F. Hort, J. Hort & J. Shanks 3248)",,P1,Priority 1: Poorly-known species
Andersonia annelsii,,CR,Critically Endangered
Andersonia auriculata,,P3,Priority 3: Poorly-known species
Andersonia axilliflora,Giant Andersonia,CR,Critically Endangered
Andersonia barbata,,P2,Priority 2: Poorly-known species
Andersonia bifida,,P2,Priority 2: Poorly-known species
Andersonia carinata,,P2,Priority 2: Poorly-known species
Andersonia echinocephala,,P4,"Priority 4: Rare, Near Threatened"
Andersonia ferricola,,P1,Priority 1: Poorly-known species
Andersonia gracilis,Slender Andersonia,VU,Vulnerable
Andersonia grandiflora,Red Andersonia,P4,"Priority 4: Rare, Near Threatened"
Andersonia hammersleyana,,P2,Priority 2: Poorly-known species
Andersonia longifolia,,P2,Priority 2: Poorly-known species
Andersonia pinaster,Two Peoples Bay Andersonia,VU,Vulnerable
Andersonia redolens,,P2,Priority 2: Poorly-known species
Andersonia setifolia,,P3,Priority 3: Poorly-known species
Andersonia sp. Amabile (N. Gibson & M. Lyons 355),,P3,Priority 3: Poorly-known species
"Andersonia sp. Audax (F. Hort, B. Hort & J. Hort 3179)",,P3,Priority 3: Poorly-known species
Andersonia sp. Blepharifolia (F. & J. Hort 1919),,P2,Priority 2: Poorly-known species
Andersonia sp. Echidna (A.R. Annels ARA 5500),,P2,Priority 2: Poorly-known species
Andersonia sp. Jamesii (J. Liddelow 84),,P4,"Priority 4: Rare, Near Threatened"
Andersonia sp. Mitchell River (B.G. Hammersley 925),,P3,Priority 3: Poorly-known species
Andersonia sp. Mt Lesueur (E.A. Griffin 5536),,P2,Priority 2: Poorly-known species
Andersonia sp. Mysosma (E.A. Griffin 2213),,P2,Priority 2: Poorly-known species
Andersonia sp. Saxatilis (F. & J. Hort 3324),,CR,Critically Endangered
Andersonia sp. Virolens (G.J. Keighery 12000),,P3,Priority 3: Poorly-known species
Androcalva adenothalia,,CR,Critically Endangered
Androcalva bivillosa,Straggling Androcalva,CR,Critically Endangered
Androcalva fragifolia,,P1,Priority 1: Poorly-known species
Androcalva microphylla,,P2,Priority 2: Poorly-known species
Androcalva perlaria,Pearllike Androcalva,EN,Endangered
Androcalva sp. York (C.F. Wilkins & A. Sole CW 2527),,P1,Priority 1: Poorly-known species
Angianthus drummondii,,P3,Priority 3: Poorly-known species
Angianthus globuliformis,,P1,Priority 1: Poorly-known species
Angianthus halophilus,,P3,Priority 3: Poorly-known species
Angianthus microcephalus,Small-headed Angianthus,P2,Priority 2: Poorly-known species
Angianthus micropodioides,,P3,Priority 3: Poorly-known species
Angianthus newbeyi,,P2,Priority 2: Poorly-known species
Angianthus prostratus,,P3,Priority 3: Poorly-known species
Angianthus sp. Salmon Gums (G.F. Craig 3074),,P1,Priority 1: Poorly-known species
Angianthus uniflorus,,P1,Priority 1: Poorly-known species
Anigozanthos bicolor subsp. exstans,,P3,Priority 3: Poorly-known species
Anigozanthos bicolor subsp. minor,"Little Kangaroo Paw, Twocoloured Kangaroo Paw, Small Twocolour Kangaroo Paw",VU,Vulnerable
Anigozanthos humilis subsp. Badgingarra (S.D. Hopper 7114),,P2,Priority 2: Poorly-known species
Anigozanthos humilis subsp. chrysanthus,Golden Catspaw,P4,"Priority 4: Rare, Near Threatened"
Anigozanthos viridis subsp. terraspectans,Dwarf Green Kangaroo Paw,VU,Vulnerable
Anthocercis fasciculata,,P4,"Priority 4: Rare, Near Threatened"
Anthocercis gracilis,Slender Tailflower,VU,Vulnerable
Anthocercis intricata,,P3,Priority 3: Poorly-known species
Anthocercis sylvicola,,P3,Priority 3: Poorly-known species
Anthotium odontophyllum,Durell's Anthotium,P3,Priority 3: Poorly-known species
Anthotium sp. Darling Range (F. Hort & B. Hort 2431),,P1,Priority 1: Poorly-known species
Anthotroche myoporoides,Myoporum-like Anthotroche,P3,Priority 3: Poorly-known species
Anticoryne diosmoides,,P4,"Priority 4: Rare, Near Threatened"
Anticoryne melanosperma,,P3,Priority 3: Poorly-known species
Anticoryne ovalifolia,,P2,Priority 2: Poorly-known species
Anzybas abditus,,P3,Priority 3: Poorly-known species
Aotus carinata,,P4,"Priority 4: Rare, Near Threatened"
Aotus franklandii,,P2,Priority 2: Poorly-known species
Aotus lanea,,P1,Priority 1: Poorly-known species
Aotus prosacris,,P1,Priority 1: Poorly-known species
Aotus sp. Cunderdin (B.J. Lepschi et al. 3587),,P1,Priority 1: Poorly-known species
Aotus sp. Dundas (M.A. Burgman 2835),,P2,Priority 2: Poorly-known species
