class,order,family,vernacularName,taxonID,genus,species,scientificName,sourceStatus,npwActStatusComments,epbcStatus,epbcActStatusComments,taxonRemarks,bdbsaCreatedDate,bdbsaModifiedDate,scientificNameAuthorship,subspeciesAuthor,status,majorGroup,subSpecies,NPW ACT STATUS,NPW ACT STATUS COMMENT,WEED OF NATIONAL SIGNIFICANCE,LANDSCAPE ACT Weed Status,DATE CREATED IN BDBSA,DATE TAXONOMY MODIFIED IN BDBSA
MAMMALIA,CETACEA,KOGIIDAE,Pygmy Sperm Whale,S01581,Kogia,breviceps,Kogia breviceps,R,,,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"(de Blainville, 1838)",,Rare,,,,,,,,
MAMMALIA,CETACEA,KOGIIDAE,Dwarf Sperm Whale,U01582,Kogia,sima,Kogia sima,R,,,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"(Owen, 1866)",,Rare,,,,,,,,
MAMMALIA,CETACEA,ZIPHIIDAE,Arnoux's Beaked Whale,K01597,Berardius,arnuxii,Berardius arnuxii,R,,,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"Duvernoy, 1851",,Rare,,,,,,,,
MAMMALIA,CETACEA,ZIPHIIDAE,Southern Bottlenose Whale,A01584,Hyperoodon,planifrons,Hyperoodon planifrons,R,,,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"Flower, 1882",,Rare,,,,,,,,
MAMMALIA,CETACEA,ZIPHIIDAE,Andrews' Beaked Whale,E01594,Mesoplodon,bowdoini,Mesoplodon bowdoini,R,,,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"Andrews, 1908",,Rare,,,,,,,,
MAMMALIA,CETACEA,ZIPHIIDAE,Gray's Beaked Whale (Scamperdown Whale),C01593,Mesoplodon,grayi,Mesoplodon grayi,R,,,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"von Haast, 1876",,Rare,,,,,,,,
MAMMALIA,CETACEA,ZIPHIIDAE,Hector's Beaked Whale,G01595,Mesoplodon,hectori,Mesoplodon hectori,R,,,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"(Gray, 1871)",,Rare,,,,,,,,
MAMMALIA,CETACEA,ZIPHIIDAE,Shepherd's Beaked Whale (Tasman Beaked Whale),M01598,Tasmacetus,shepherdi,Tasmacetus shepherdi,R,,,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"Oliver, 1937",,Rare,,,,,,,,
MAMMALIA,CETACEA,ZIPHIIDAE,Cuvier's Beaked Whale (Goose-beaked Whale),G01587,Ziphius,cavirostris,Ziphius cavirostris,R,,,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"Cuvier, 1823",,Rare,,,,,,,,
MAMMALIA,RODENTIA,MURIDAE,White-footed Tree-rat,U01426,Conilurus,albipes,Conilurus albipes,E,,EX,,This species was recorded by John Gould (1845-1863) as occurring in SA but the only confirmed evidence is from subfossils.,1990-03-01 00:00:00,2002-11-01 00:00:00,"(Lichtenstein, 1829)",,Endangered,,,,,,,,
MAMMALIA,RODENTIA,MURIDAE,Lesser Stick-nest Rat,M01430,Leporillus,apicalis,Leporillus apicalis,E,,EX,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"(Gould, 1853)",,Endangered,,,,,,,,
MAMMALIA,RODENTIA,MURIDAE,Greater Stick-nest Rat,C01429,Leporillus,conditor,Leporillus conditor,V,,VU,,"Extinct on mainland SA. Stock from remaining wild population on the Franklin Islands reintroduced to Reevesby Island (1991, 1992), Yookamurra Sanctuary (1991, 1992), St Peter Island (1993, 1994) and Arid Recovery/Roxby (1998, 1999).",1990-03-01 00:00:00,2002-11-01 00:00:00,"(Sturt, 1848)",,Vulnerable,,,,,,,,
