scientificName,vernacularName,family,genus,status,sourceStatus
Stipiturus malachurus polionotum,Southern Emuwren (South East),MALURIDAE,Stipiturus,Rare,R
Stipiturus mallee,Mallee Emuwren,MALURIDAE,Stipiturus,Endangered,E
Stipiturus ruficeps,Rufous-crowned Emuwren,MALURIDAE,Stipiturus,Rare,R
Anthochaera phrygia,Regent Honeyeater,MELIPHAGIDAE,Anthochaera,Endangered,E
Conopophila whitei,Grey Honeyeater,MELIPHAGIDAE,Conopophila,Rare,R
Entomyzon cyanotis cyanotis,Blue-faced Honeyeater,MELIPHAGIDAE,Entomyzon,Rare,R
Epthianura crocea crocea,Yellow Chat,MELIPHAGIDAE,Epthianura,Endangered,E
Grantiella picta,Painted Honeyeater,MELIPHAGIDAE,Grantiella,Rare,R
Lichenostomus cratitius occidentalis,Purple-gaped Honeyeater (mainland SA),MELIPHAGIDAE,Lichenostomus,Rare,R
Lichmera indistincta indistincta,Brown Honeyeater,MELIPHAGIDAE,Lichmera,Rare,R
Manorina flavigula melanotis,Black-eared Miner,MELIPHAGIDAE,Manorina,Endangered,E
Melithreptus gularis gularis,Black-chinned Honeyeater,MELIPHAGIDAE,Melithreptus,Vulnerable,V
Melithreptus gularis laetior,Golden-backed Honeyeater,MELIPHAGIDAE,Melithreptus,Rare,R
Philemon citreogularis citreogularis,Little Friarbird,MELIPHAGIDAE,Philemon,Rare,R
Plectorhyncha lanceolata,Striped Honeyeater,MELIPHAGIDAE,Plectorhyncha,Rare,R
Dasyornis broadbenti broadbenti,Rufous Bristlebird,DASYORNITHIDAE,Dasyornis,Rare,R
Acanthiza iredalei hedleyi,Dark Thornbill (upper South East),ACANTHIZIDAE,Acanthiza,Rare,R
Acanthiza iredalei iredalei,Slender-billed Thornbill (western),ACANTHIZIDAE,Acanthiza,Rare,R
Acanthiza iredalei rosinae,Samphire Thornbill or Slender-billed Thornbill Gulf St Vincent),ACANTHIZIDAE,Acanthiza,Vulnerable,V
Aphelocephala pectoralis,Chestnut-breasted Whiteface,ACANTHIZIDAE,Aphelocephala,Rare,R
Gerygone fusca,Western Gerygone,ACANTHIZIDAE,Gerygone,Rare,R
Gerygone olivacea olivacea,White-throated Gerygone,ACANTHIZIDAE,Gerygone,Rare,R
Hylacola cauta cauta,"Shy Heathwren (EP, YP, FR, MM, upper SE)",ACANTHIZIDAE,Hylacola,Rare,R
Hylacola cauta halmaturina,Shy Heathwren (Kangaroo Island),ACANTHIZIDAE,Hylacola,Rare,R
Hylacola pyrrhopygia parkeri,Chestnut-rumped Heathwren (Mount Lofty Ranges),ACANTHIZIDAE,Hylacola,Endangered,E
Hylacola pyrrhopygia pedleri,Chestnut-rumped Heathwren (southern Flinders Ranges),ACANTHIZIDAE,Hylacola,Vulnerable,V
Hylacola pyrrhopygia pyrrhopygia,Chestnut-rumped Heathwren (South East),ACANTHIZIDAE,Hylacola,Vulnerable,V
Pomatostomus temporalis rubeculus,Red-breasted Babbler (North West),POMATOSTOMIDAE,Pomatostomus,Rare,R
Pomatostomus temporalis temporalis,Grey-crowned Babbler (South East),POMATOSTOMIDAE,Pomatostomus,Endangered,E
Psophodes leucogaster lashmari,White-bellied Whipbird (KI),PSOPHODIDAE,Psophodes,Rare,R
Psophodes leucogaster leucogaster,White-bellied Whipbird (eastern subspecies),PSOPHODIDAE,Psophodes,Endangered,E
Cinclosoma castanotum,Chestnut Quailthrush (Chestnut-backed Quailthrush),CINCLOSOMATIDAE,Cinclosoma,Rare,R
Cinclosoma punctatum anachoreta,Spotted Quailthrush (MLR),CINCLOSOMATIDAE,Cinclosoma,Endangered,E
Cinclosoma punctatum punctatum,Spotted Quailthrush (SE),CINCLOSOMATIDAE,Cinclosoma,Endangered,E
Strepera graculina ashbyi,Pied Currawong,ARTAMIDAE,Strepera,Endangered,E
Strepera versicolor plumbea,Grey Currawong (far NW and far south-western SA),ARTAMIDAE,Strepera,Endangered,E
Coracina papuensis robusta,White-bellied Cuckooshrike,CAMPEPHAGIDAE,Coracina,Rare,R
Falcunculus frontatus frontatus,Eastern Shriketit,FALCUNCULIDAE,Falcunculus,Rare,R
Pachycephala inornata,Gilbert's Whistler,PACHYCEPHALIDAE,Pachycephala,Rare,R
Pachycephala olivacea hesperus,Olive Whistler,PACHYCEPHALIDAE,Pachycephala,Endangered,E
Pachycephala rufogularis,Red-lored Whistler,PACHYCEPHALIDAE,Pachycephala,Rare,R
