NSXCODE,SPECIESNR,SYNONYM,SUPRAFAMILY,FAMILY,FAMILY_NUM,STATUS,GENUS,SPECIES,SPECIES_AUTHOR,INFRASP_RANK,INFRASP_NAME,INFRASP_AUTHOR,EPBC_STATUS,NPWSA_STATUS,HYBRID,HYBRIDRANK,SYNQUALIFIER,COMMON_NAME_1,COMMON_NAME_2,NW,NW_QUEST,NW_FLAG,LE,LE_QUEST,LE_FLAG,NU,NU_QUEST,NU_FLAG,GT,GT_QUEST,GT_FLAG,FR,FR_QUEST,FR_FLAG,EA,EA_QUEST,EA_FLAG,EP,EP_QUEST,EP_FLAG,NL,NL_QUEST,NL_FLAG,MU,MU_QUEST,MU_FLAG,YP,YP_QUEST,YP_FLAG,SL,SL_QUEST,SL_FLAG,KI,KI_QUEST,KI_FLAG,SE,SE_QUEST,SE_FLAG,Final data modification on: Tuesday 15 March 2022 2:45 AM. Extract created on: Tuesday 15 March 2022 11:40 AM
S05437,12666,0,Angiospermae,Leguminosae,91.182,,Acacia,whibleyana,R.S.Cowan & Maslin,,,,Endangered,Endangered,,,,Whibley's Wattle,,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,,,,,,,,,,,,,
Q02620,27909,0,Angiospermae,Leguminosae,91.182,,Bossiaea,peninsularis,I.Thomps.,,,,Endangered,Endangered,,,,Sword Bossiaea,,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,,,,,,,,,,,,,
Z01767,3701,0,Angiospermae,Leguminosae,91.182,,Pultenaea,trichophylla,H.B.Will. ex J.M.Black,,,,Endangered,Rare,,,,Tufted Bush-pea,,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,,,,,,,,,,,,,
Z04619,12658,0,Angiospermae,Rutaceae,91.212,,Correa,eburnea,Paul G.Wilson,,,,Endangered,Vulnerable,,,,Deep Creek Correa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,,,,,,,,,
G04623,12981,0,Angiospermae,Rutaceae,91.212,,Leionema,equestre,(D.A.Cooke) Paul G.Wilson,,,,Endangered,Endangered,,,,Kangaroo Island Phebalium,Saddle-leaf Phebalium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KI,,,,,,
K04757,8849,0,Angiospermae,Sapindaceae,91.236,,Dodonaea,subglandulifera,J.G.West,,,,Endangered,Endangered,,,,,,,,,,,,,,,,,,FR,,,,,,,,,NL,,,MU,,,YP,,,,,,,,,,,,
E02174,4430,0,Angiospermae,Frankeniaceae,91.295,,Frankenia,plicata,Melville,,,,Endangered,Vulnerable,,,,,,,,,LE,,,,,,GT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S05509,12419,0,Angiospermae,Myrtaceae,91.306,,Eucalyptus,paludicola,D.Nicolle,,,,Endangered,Endangered,,species,,Mount Compass Swamp Gum,Swamp Cup Gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,,,KI,,,,,,
K03429,6746,0,Angiospermae,Haloragaceae,91.322,,Haloragis,eyreana,Orchard,,,,Endangered,Endangered,,,,Prickly Raspwort,,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,,,,,,,,,,,,,
E02618,5343,0,Angiospermae,Labiatae,91.392,,Prostanthera,eurybioides,F.Muell.,,,,Endangered,Endangered,,,,Monarto Mintbush,,,,,,,,,,,,,,,,,,,,,,,,,,MU,,,,,,SL,?,,,,,SE,,,
W03695,7203,0,Angiospermae,Scrophulariaceae,91.4,,Euphrasia,collina,R.Br.,ssp.,muelleri,(Wettst.) W.R.Barker,Endangered,Endangered,,,,Mueller's Eyebright,,,,,,,,,,,,,,FR,,,,,,,,,,,,,,,,,,SL,,,,,,SE,,,
C03697,7205,0,Angiospermae,Scrophulariaceae,91.4,,Euphrasia,collina,R.Br.,ssp.,osbornii,W.R.Barker,Endangered,Endangered,,,,Osborn's Eyebright,,,,,,,,,,,,,,,,,,,,EP,,,NL,,,,,,YP,,,SL,,,KI,,,SE,,,
S02745,5536,0,Angiospermae,Scrophulariaceae,91.4,,Veronica,parnkalliana,J.M.Black,,,,Endangered,Endangered,,,,Port Lincoln Speedwell,Rare Speedwell,,,,,,,,,,,,,FR,,,,,,EP,,,NL,,,,,,,,,,,,,,,,,,
Q02980,12941,0,Angiospermae,Compositae,91.435,,Brachyscome,muelleri,Sond.,,,,Endangered,Endangered,,,,Corunna Daisy,,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,YP,,,SL,,,,,,,,,
