id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,category,generalisation
4401349,Amytornis barbatus,Grey Grasswren,Amytornis (Maluropsis) barbatus,https://biodiversity.org.au/afd/taxa/3b441005-8cc1-46f2-8818-91b36931b7d6,dr493,"[{'key': 'category', 'value': 'NT'}, {'key': 'generalisation', 'value': '2 km'}]",NT,2 km
4401586,Amytornis barbatus barbatus,Grey Grasswren,Amytornis (Maluropsis) barbatus barbatus,https://biodiversity.org.au/afd/taxa/4b228269-91dc-4709-8af2-bfe6065bc4c1,dr493,"[{'key': 'category', 'value': 'EN'}, {'key': 'generalisation', 'value': '2 km'}]",EN,2 km
4401955,Amytornis barbatus diamantina,Grey Grasswren,Amytornis (Maluropsis) barbatus diamantina,https://biodiversity.org.au/afd/taxa/8069e794-d6fc-4452-acc3-7777e0ab4da5,dr493,"[{'key': 'category', 'value': 'NT'}, {'key': 'generalisation', 'value': '2 km'}]",NT,2 km
4401522,Amytornis dorotheae,Carpentarian Grasswren,Amytornis (Magnamytis) dorotheae,https://biodiversity.org.au/afd/taxa/425c0e16-780d-44da-b916-e0c4cf9ecd1d,dr493,"[{'key': 'category', 'value': 'EN'}, {'key': 'generalisation', 'value': '2 km'}]",EN,2 km
4401987,Amytornis goyderi,Eyrean Grasswren,Amytornis (Amytornis) goyderi,https://biodiversity.org.au/afd/taxa/82ac680b-af93-4de1-bfcc-064724200db5,dr493,"[{'key': 'category', 'value': 'LC'}, {'key': 'generalisation', 'value': '2 km'}]",LC,2 km
4401760,Amytornis rowleyi,Rusty Grasswren,Amytornis rowleyi,ALA_DR652_168,dr493,"[{'key': 'category', 'value': 'NT'}, {'key': 'generalisation', 'value': '2 km'}]",NT,2 km
4402101,Stipiturus malachurus,Southern Emu-wren,Stipiturus malachurus,https://biodiversity.org.au/afd/taxa/960b9ffd-b781-4629-9044-78a79b33c485,dr493,"[{'key': 'category', 'value': 'VU'}, {'key': 'generalisation', 'value': '2 km'}]",VU,2 km
4401577,Atrichornis rufescens,Rufous Scrub-bird,Atrichornis (Atrichornis) rufescens,https://biodiversity.org.au/afd/taxa/a0a03328-a019-4b4d-93d5-b51933d26adc,dr493,"[{'key': 'category', 'value': 'VU'}, {'key': 'generalisation', 'value': '2 km'}]",VU,2 km
4401739,Pezoporus occidentalis,Night Parrot,Pezoporus occidentalis,https://biodiversity.org.au/afd/taxa/c630f3b0-528a-4686-a2a1-73113135f214,dr493,"[{'key': 'category', 'value': 'EN'}, {'key': 'generalisation', 'value': '2 km'}]",EN,2 km
4401973,Turnix olivii,Buff-breasted Button-quail,Turnix (Austroturnix) olivii,https://biodiversity.org.au/afd/taxa/e26aef43-95fe-434b-8984-8866d6671d95,dr493,"[{'key': 'category', 'value': 'CR'}, {'key': 'generalisation', 'value': '2 km'}]",CR,2 km
