id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,generalisation,category
4395195,Pimelea venosa,Bolivia Hill Rice-flower,Pimelea venosa,https://id.biodiversity.org.au/node/apni/2891541,dr487,"[{'key': 'generalisation', 'value': '1km'}, {'key': 'category', 'value': 'Category 3'}]",1km,Category 3
4395183,Oberonia titania,Norfolk Island Oberonia,Oberonia titania,https://id.biodiversity.org.au/taxon/apni/51406765,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4395257,Pterostylis gibbosa,Illawarra Greenhood,Pterostylis gibbosa,https://id.biodiversity.org.au/taxon/apni/51412148,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4395194,Grevillea caleyi,Caley's Grevillea,Grevillea caleyi,https://id.biodiversity.org.au/node/apni/2912335,dr487,"[{'key': 'generalisation', 'value': '1km'}, {'key': 'category', 'value': 'Category 3'}]",1km,Category 3
4395159,Caladenia concolor,Crimson Spider Orchid,Caladenia concolor,https://id.biodiversity.org.au/taxon/apni/51398911,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4395135,Caladenia rosella,Little Pink Spider-orchid,Caladenia rosella,https://id.biodiversity.org.au/taxon/apni/51399335,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4395191,Cheilanthes sieberi subsp. pseudovellea,,Cheilanthes sieberi subsp. pseudovellea,https://id.biodiversity.org.au/node/apni/2907348,dr487,"[{'key': 'generalisation', 'value': '1km'}, {'key': 'category', 'value': 'Category 3'}]",1km,Category 3
4395210,Grammitis stenophylla,Narrow-leaf Finger Fern,Grammitis stenophylla,https://id.biodiversity.org.au/node/apni/2894545,dr487,"[{'key': 'generalisation', 'value': '1km'}, {'key': 'category', 'value': 'Category 3'}]",1km,Category 3
4395136,Grevillea masonii,Mason's Grevillea,Grevillea masonii,https://id.biodiversity.org.au/node/apni/2913810,dr487,"[{'key': 'generalisation', 'value': '1km'}, {'key': 'category', 'value': 'Category 3'}]",1km,Category 3
4395107,Prasophyllum petilum,Tarengo Leek Orchid,Prasophyllum petilum,https://id.biodiversity.org.au/taxon/apni/51409851,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
