name,commonName_new,scientificName_new,status_new,listUpdate,commonName_old,scientificName_old,status_old
Hibbertia sandifordiae,,Hibbertia sandifordiae,Priority 1: Poorly-known species,added,,,
Hibbertia sp. Mt Holland (B. Ellery BE 1437) PN,,Hibbertia sp. Mt Holland (B.Ellery BE 1437),Priority 1: Poorly-known species,added,,,
Hibbertia subglabra,,Hibbertia subglabra,Priority 3: Poorly-known species,added,,,
Hibbertia tuberculata,,Hibbertia tuberculata,Priority 1: Poorly-known species,added,,,
Hibbertia wheelerae,,Hibbertia wheelerae,Priority 2: Poorly-known species,added,,,
Hibiscus chrysinocolla,Golden-goo Hibiscus,Hibiscus chrysinocolla,Priority 1: Poorly-known species,added,,,
Hibiscus sp. Kununurra (K.F. Kenneally 1940) PN,,,Priority 1: Poorly-known species,added,,,
Hibiscus sp. Perrinvale Station (J. Warden & E. Ager WB 10581),,Hibiscus sp. Perrinvale Station (J.Warden & E.Ager WB 10581),Priority 1: Poorly-known species,added,,,
Hydrocotyle eichleri,Eichler's Pennywort,Hydrocotyle eichleri,Priority 3: Poorly-known species,added,,,
Hydrocotyle papilionella,Butterfly Pennywort,Hydrocotyle papilionella,Priority 2: Poorly-known species,added,,,
Hydrocotyle tuberculata,Bumpy-fruited Pennywort,Hydrocotyle tuberculata,Priority 2: Poorly-known species,added,,,
Hypocalymma inopinatum,,,Priority 2: Poorly-known species,added,,,
Hypocalymma polyandrum,,,Priority 1: Poorly-known species,added,,,
Hypocalymma sp. Nambung (R. Spjut & R. Smith s.n. 22/09/1992) PN,,Hypocalymma sp. Nambung (R.Spjut & R.Smith s.n. 22/09/1992),Priority 3: Poorly-known species,added,,,
Indigofera rivularis,,,Priority 3: Poorly-known species,added,,,
Indigofera rotula,,,Priority 3: Poorly-known species,added,,,
Isopogon autumnalis,Autumn Isopogon,Isopogon autumnalis,Priority 3: Poorly-known species,added,,,
Isotropis petrensis,,,Priority 1: Poorly-known species,added,,,
Josephinia sp. Woodstock (A.A. Mitchell PRP 989),,Josephinia sp. Woodstock (A.A.Mitchell PRP 989),Priority 1: Poorly-known species,added,,,
Kunzea dracopetrensis,Dragon Rocks Kunzea,Kunzea dracopetrensis,Priority 2: Poorly-known species,added,,,
Kunzea petrophila,,Kunzea petrophila,Priority 1: Poorly-known species,added,,,
Lambertia orbifolia subsp. Bowelling (A. Webb AW 09107) PN,,,Priority 2: Poorly-known species,added,,,
Lasiopetalum hapalocalyx,Wellstead Lasiopetalum,Lasiopetalum hapalocalyx,Priority 1: Poorly-known species,added,,,
Latrobea colophon,,,Critically Endangered,added,,,
Lechenaultia orchestris,Dancing Lechenaultia,Lechenaultia orchestris,Priority 1: Poorly-known species,added,,,
Leichhardtia glandulifera,,Leichhardtia glandulifera,Priority 1: Poorly-known species,added,,,
Leichhardtia racemosa,,Leichhardtia racemosa,Priority 1: Poorly-known species,added,,,
Lemphoria humistrata,,,Priority 1: Poorly-known species,added,,,
Lepidium sp. Stirling Range (S. Barrett 1359) PN,,Lepidium sp. Stirling Range (S.Barrett 1359),Priority 2: Poorly-known species,added,,,
Lepidosperma sp. Kambalda (A.A. Mitchell 5156) PN,,Lepidosperma sp. Kambalda (A.A.Mitchell 5156),Priority 2: Poorly-known species,added,,,
Leucopogon kirupensis,Kirup Beard-heath,Leucopogon kirupensis,Priority 2: Poorly-known species,added,,,
Leucopogon sp. Cascades (M. Hislop 3693),,Leucopogon sp. Cascades (M.Hislop 3693),Priority 1: Poorly-known species,added,,,
Levenhookia preissii,Preiss's Stylewort,Levenhookia preissii,Priority 1: Poorly-known species,added,,,
Lindernia sp. Minute-flowered (A.S. George 12433),,,Priority 2: Poorly-known species,added,,,
Lindernia sp. Pilbara (M.N. Lyons & L. Lewis FV 1069),,Lindernia sp. Pilbara (M.N.Lyons & L.Lewis FV 1069),Priority 1: Poorly-known species,added,,,
