id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,status,sourceStatus
4394446,Scholtzia sp. Nolba (E. Place s.n. Jan. 1964),,Scholtzia sp. Nolba (E.Place s.n. Jan. 1964),https://id.biodiversity.org.au/node/apni/2892683,dr2201,"[{'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}]",Priority 1: Poorly-known species,P1
4394214,Scholtzia sp. Whelarra (M.E. Trudgen 12018),,Scholtzia sp. Whelarra (M.E.Trudgen 12018),https://id.biodiversity.org.au/node/apni/2901831,dr2201,"[{'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}]",Priority 1: Poorly-known species,P1
4392241,Scholtzia subsessilis,Billeranga Scholtzia,Scholtzia subsessilis,https://id.biodiversity.org.au/name/apni/51304901,dr2201,"[{'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}]",Priority 1: Poorly-known species,P1
4392163,Scholtzia tenuissima,Delicate Scholtzia,Scholtzia tenuissima,https://id.biodiversity.org.au/name/apni/51304913,dr2201,"[{'key': 'status', 'value': 'Priority 2: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P2'}]",Priority 2: Poorly-known species,P2
4393164,Scholtzia thinicola,Dune Scholtzia,Scholtzia thinicola,https://id.biodiversity.org.au/name/apni/51305180,dr2201,"[{'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}]",Priority 1: Poorly-known species,P1
4391753,Scholtzia truncata,,Scholtzia truncata,https://id.biodiversity.org.au/name/apni/51305196,dr2201,"[{'key': 'status', 'value': 'Priority 2: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P2'}]",Priority 2: Poorly-known species,P2
4391684,Scholtzia uniflora,,Scholtzia uniflora,https://id.biodiversity.org.au/name/apni/51305202,dr2201,"[{'key': 'status', 'value': 'Priority 2: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P2'}]",Priority 2: Poorly-known species,P2
4394057,Scleria annularis,,Scleria annularis,https://id.biodiversity.org.au/node/apni/2888385,dr2201,"[{'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}]",Priority 1: Poorly-known species,P1
4394153,Scleria levis,,Scleria levis,https://id.biodiversity.org.au/node/apni/2906912,dr2201,"[{'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}]",Priority 1: Poorly-known species,P1
4393400,Scleria poiformis,,Scleria poiformis,https://id.biodiversity.org.au/node/apni/2893604,dr2201,"[{'key': 'status', 'value': 'Priority 2: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P2'}]",Priority 2: Poorly-known species,P2
4393515,Scleria polycarpa,,Scleria polycarpa,https://id.biodiversity.org.au/node/apni/2889498,dr2201,"[{'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}]",Priority 1: Poorly-known species,P1
4393771,Scleria psilorrhiza,,Scleria psilorrhiza,https://id.biodiversity.org.au/node/apni/2914879,dr2201,"[{'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}]",Priority 1: Poorly-known species,P1
