"Supplied Name","guid","scientificName","family","kingdom","vernacular","sourceStatus","status"
"Gahnia radula","https://id.biodiversity.org.au/node/apni/2914298","Gahnia radula","Cyperaceae",,"Thatch Saw-sedge","Rare","Near Threatened"
"Isolepis producta","https://id.biodiversity.org.au/node/apni/2888198","Isolepis producta","Cyperaceae",,"Nutty Club-rush","Vulnerable","Endangered"
"Limosa lapponica","urn:lsid:biodiversity.org.au:afd.taxon:242e9696-c125-4c1a-865d-85a00199cadf","Limosa lapponica","Scolopacidae",,"Bar-tailed Godwit","Rare","Near Threatened"
"Prasophyllum validum","https://id.biodiversity.org.au/node/apni/2894520","Prasophyllum validum","Orchidaceae",,"Green Leek Orchid","Vulnerable","Endangered"
"Maireana melanocarpa","https://id.biodiversity.org.au/node/apni/2913358","Maireana melanocarpa","Chenopodiaceae",,"Black-fruit Bluebush","Rare","Near Threatened"
"Frankenia subteres","https://id.biodiversity.org.au/node/apni/2902135","Frankenia subteres","Frankeniaceae",,,"Rare","Near Threatened"
"Pseudemoia pagenstecheri","urn:lsid:biodiversity.org.au:afd.taxon:32509547-85d6-4d13-86fc-df94d9df1e2f","Pseudemoia pagenstecheri","Scincidae",,"Tussock Skink","Rare","Near Threatened"
"Perameles bougainville","urn:lsid:biodiversity.org.au:afd.taxon:43ceb071-6dfd-4771-a544-5f2620e0c02a","Perameles bougainville","Peramelidae",,"Western Barred Bandicoot","Extinct or Endangered","Endangered"
"Arenaria interpres","urn:lsid:biodiversity.org.au:afd.taxon:593db440-6c53-4975-b43b-38b5af21919f","Arenaria interpres","Scolopacidae",,"Ruddy Turnstone","Rare","Near Threatened"
"Spyridium leucopogon","https://id.biodiversity.org.au/node/apni/2918011","Spyridium leucopogon","Rhamnaceae",,"Silvery Spyridium","Rare","Near Threatened"
"Isotoma fluviatilis subsp. australis","https://id.biodiversity.org.au/node/apni/2900519","Isotoma fluviatilis subsp. australis","Campanulaceae",,"Swamp Isotome","Rare","Near Threatened"
"Caladenia conferta","https://id.biodiversity.org.au/taxon/apni/51290491","Caladenia conferta","Orchidaceae",,"Coast Spider-orchid","Extinct or Endangered","Endangered"
"Eriocaulon carsonii subsp. carsonii","https://id.biodiversity.org.au/node/apni/2904660","Eriocaulon carsonii subsp. carsonii","Eriocaulaceae",,"Salt Pipewort","Extinct or Endangered","Endangered"
"Pomatostomus (Pomatostomus) temporalis rubeculus","urn:lsid:biodiversity.org.au:afd.taxon:10caee81-4b4a-411c-9ba3-8242fcede76f","Pomatostomus (Pomatostomus) temporalis rubeculus","Pomatostomidae",,"Grey-crowned Babbler (northern Ssp)","Rare","Near Threatened"
"Thelymitra cyanapicata","https://id.biodiversity.org.au/node/apni/2909715","Thelymitra cyanapicata","Orchidaceae",,"Dark-tipped Sun-orchid","Extinct or Endangered","Endangered"
"Notomys cervinus","urn:lsid:biodiversity.org.au:afd.taxon:1b91de2d-8394-4dd0-b3f0-48ca06fea2d6","Notomys cervinus","Muridae",,"Fawn Hopping-mouse","Vulnerable","Endangered"
"Eleocharis atricha","https://id.biodiversity.org.au/node/apni/2913555","Eleocharis atricha","Cyperaceae",,"Tuber Spike-rush","Vulnerable","Endangered"
"Tasmacetus shepherdi","urn:lsid:biodiversity.org.au:afd.taxon:1f35de54-946d-44e4-ab53-2d737878710e","Tasmacetus shepherdi","Ziphiidae",,"Shepherd's Beaked Whale","Rare","Near Threatened"
"Pterostylis striata","https://id.biodiversity.org.au/name/apni/75847","Pterostylis striata","Orchidaceae",,"Striped Greenhood","Rare","Near Threatened"
"Amytornis (Maluropsis) barbatus barbatus","urn:lsid:biodiversity.org.au:afd.taxon:16804299-e7f3-490a-aa30-9fae990a8a64","Amytornis (Maluropsis) barbatus barbatus","Maluridae",,"Grey Grasswren","Rare","Near Threatened"
"Tricostularia pauciflora","https://id.biodiversity.org.au/node/apni/2908406","Tricostularia pauciflora","Cyperaceae",,"Needle Bog-rush","Extinct or Endangered","Endangered"
"Pterostylis tasmanica","https://id.biodiversity.org.au/taxon/apni/51316831","Pterostylis tasmanica","Orchidaceae",,"Small Bearded Greenhood","Vulnerable","Endangered"
"Melaleuca wilsonii","https://id.biodiversity.org.au/node/apni/2903581","Melaleuca wilsonii","Myrtaceae",,"Violet Honey-myrtle","Rare","Near Threatened"
"Allittia uliginosa","https://id.biodiversity.org.au/node/apni/2910951","Allittia uliginosa","Asteraceae",,"Wet-heath Daisy","Rare","Near Threatened"
"Veronica parnkalliana","https://id.biodiversity.org.au/node/apni/2887402","Veronica parnkalliana","Plantaginaceae",,"Port Lincoln Speedwell","Extinct or Endangered","Endangered"
"Sternula nereis nereis","urn:lsid:biodiversity.org.au:afd.taxon:e035bd09-bd96-4665-a18d-baf5381d743d","Sternula nereis nereis","Laridae",,"Fairy Tern","Extinct or Endangered","Endangered"
"Caladenia vulgaris","https://id.biodiversity.org.au/name/apni/117383","Caladenia vulgaris","Orchidaceae",,"Plain Caladenia","Rare","Near Threatened"
