id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,taxonID,scientificNameAuthorship,sourceStatus,Significant,Confidential,status,Endemicity,E P B C  Status
4193993,Lepiderema pulchella,Fine Leaved Tuckeroo,Lepiderema pulchella,https://id.biodiversity.org.au/node/apni/2911053,dr652,"[{'key': 'taxonID', 'value': '13521'}, {'key': 'scientificNameAuthorship', 'value': 'Radlk.'}, {'key': 'sourceStatus', 'value': 'V'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'Endemicity', 'value': 'Intranational'}]",13521,Radlk.,V,Y,N,Vulnerable,Intranational,
4195418,Lepisanthes senegalensis,,Lepisanthes senegalensis,https://id.biodiversity.org.au/node/apni/2897521,dr652,"[{'key': 'taxonID', 'value': '27834'}, {'key': 'scientificNameAuthorship', 'value': '(Poir.) Leenh.'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'Endemicity', 'value': 'Regional Endemic'}]",27834,(Poir.) Leenh.,E,Y,N,Endangered,Regional Endemic,
4194448,Mischocarpus albescens,,Mischocarpus albescens,https://id.biodiversity.org.au/node/apni/2886621,dr652,"[{'key': 'taxonID', 'value': '11412'}, {'key': 'scientificNameAuthorship', 'value': 'S.T.Reynolds'}, {'key': 'sourceStatus', 'value': 'NT'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Near Threatened'}, {'key': 'Endemicity', 'value': 'Queensland Endemic'}]",11412,S.T.Reynolds,NT,Y,N,Near Threatened,Queensland Endemic,
4194385,Sarcopteryx montana,,Sarcopteryx montana,https://id.biodiversity.org.au/node/apni/2903721,dr652,"[{'key': 'taxonID', 'value': '13577'}, {'key': 'scientificNameAuthorship', 'value': 'S.T.Reynolds'}, {'key': 'sourceStatus', 'value': 'NT'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Near Threatened'}, {'key': 'Endemicity', 'value': 'Queensland Endemic'}]",13577,S.T.Reynolds,NT,Y,N,Near Threatened,Queensland Endemic,
4194338,Synima heterophylla,,Synima heterophylla,ALA_DR652_2031,dr652,"[{'key': 'taxonID', 'value': '41491'}, {'key': 'scientificNameAuthorship', 'value': '(S.T.Reynolds) Callm. & Buerki'}, {'key': 'sourceStatus', 'value': 'NT'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Near Threatened'}, {'key': 'Endemicity', 'value': 'Queensland Endemic'}]",41491,(S.T.Reynolds) Callm. & Buerki,NT,Y,N,Near Threatened,Queensland Endemic,
4193547,Toechima pterocarpum,Orange Tamarind,Toechima pterocarpum,https://id.biodiversity.org.au/node/apni/2909457,dr652,"[{'key': 'taxonID', 'value': '9877'}, {'key': 'scientificNameAuthorship', 'value': 'S.T.Reynolds'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'Endemicity', 'value': 'Queensland Endemic'}, {'key': 'E P B C  Status', 'value': 'Endangered'}]",9877,S.T.Reynolds,E,Y,N,Endangered,Queensland Endemic,Endangered
4193669,Tristiropsis acutangula,Fern-leaved Tamarind,Tristiropsis acutangula,https://id.biodiversity.org.au/node/apni/2897436,dr652,"[{'key': 'taxonID', 'value': '28096'}, {'key': 'scientificNameAuthorship', 'value': 'Radlk.'}, {'key': 'sourceStatus', 'value': 'V'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'Endemicity', 'value': 'Regional Endemic'}]",28096,Radlk.,V,Y,N,Vulnerable,Regional Endemic,
4194253,Donella lanceolata,Star Apple,Chrysophyllum roxburghii,https://id.biodiversity.org.au/node/apni/2908616,dr652,"[{'key': 'taxonID', 'value': '36038'}, {'key': 'scientificNameAuthorship', 'value': '(Blume) Aubrev.'}, {'key': 'sourceStatus', 'value': 'NT'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Near Threatened'}, {'key': 'Endemicity', 'value': 'Regional Endemic'}]",36038,(Blume) Aubrev.,NT,Y,N,Near Threatened,Regional Endemic,
4194470,Niemeyera whitei,Rusty Plum,Niemeyera whitei,https://id.biodiversity.org.au/node/apni/2920059,dr652,"[{'key': 'taxonID', 'value': '27452'}, {'key': 'scientificNameAuthorship', 'value': '(Aubrev.) Jessup'}, {'key': 'sourceStatus', 'value': 'V'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'Endemicity', 'value': 'Intranational'}]",27452,(Aubrev.) Jessup,V,Y,N,Vulnerable,Intranational,
4193726,Planchonella eerwah,Shiny Leaved Coondoo,Planchonella eerwah,https://id.biodiversity.org.au/node/apni/2903411,dr652,"[{'key': 'taxonID', 'value': '5210'}, {'key': 'scientificNameAuthorship', 'value': '(F.M.Bailey) P.Royen'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'Endemicity', 'value': 'Intranational'}, {'key': 'E P B C  Status', 'value': 'Endangered'}]",5210,(F.M.Bailey) P.Royen,E,Y,N,Endangered,Intranational,Endangered
4193752,Planchonella xylocarpa,,Planchonella xylocarpa,https://id.biodiversity.org.au/node/apni/2896268,dr652,"[{'key': 'taxonID', 'value': '32242'}, {'key': 'scientificNameAuthorship', 'value': '(C.T.White) Swenson, Bartish & Munzinger'}, {'key': 'sourceStatus', 'value': 'NT'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Near Threatened'}, {'key': 'Endemicity', 'value': 'Regional Endemic'}]",32242,"(C.T.White) Swenson, Bartish & Munzinger",NT,Y,N,Near Threatened,Regional Endemic,
4193986,Actinostachys digitata,,Actinostachys digitata,https://id.biodiversity.org.au/node/apni/2914605,dr652,"[{'key': 'taxonID', 'value': '14050'}, {'key': 'scientificNameAuthorship', 'value': '(L.) Wall.'}, {'key': 'sourceStatus', 'value': 'SL'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Special least concern'}, {'key': 'Endemicity', 'value': 'Not Endemic to Australia'}]",14050,(L.) Wall.,SL,Y,N,Special least concern,Not Endemic to Australia,
4193942,Actinostachys wagneri,,Actinostachys wagneri,https://id.biodiversity.org.au/node/apni/2913325,dr652,"[{'key': 'taxonID', 'value': '18115'}, {'key': 'scientificNameAuthorship', 'value': '(Selling) C.F.Reed'}, {'key': 'sourceStatus', 'value': 'SL'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Special least concern'}, {'key': 'Endemicity', 'value': 'Queensland Endemic'}]",18115,(Selling) C.F.Reed,SL,Y,N,Special least concern,Queensland Endemic,
