id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,status,sourceStatus
4377234,Petrogale concinna concinna,Nabarlek (victoria River District),Petrogale concinna concinna,https://biodiversity.org.au/afd/taxa/67a0861b-0647-4a20-a7b3-2d3c1c2cc025,dr651,"[{'key': 'status', 'value': 'Critically endangered'}, {'key': 'sourceStatus', 'value': 'Critically endangered (possibly extinct)'}]",Critically endangered,Critically endangered (possibly extinct)
4377068,Pezoporus occidentalis,Night Parrot,Pezoporus occidentalis,https://biodiversity.org.au/afd/taxa/c630f3b0-528a-4686-a2a1-73113135f214,dr651,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'Endangered'}]",Endangered,Endangered
4377196,Phascogale pirata,Northern Brush-tailed Phascogale,Phascogale pirata,https://biodiversity.org.au/afd/taxa/3a56cfa7-f2f1-4eb2-9f4b-33c0b57b5a4c,dr651,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'Endangered'}]",Endangered,Endangered
4377066,Notomys aquilo,Northern Hopping-mouse,Notomys aquilo,https://biodiversity.org.au/afd/taxa/6ac36ddd-54f5-4ab4-9ad4-1a5405307c26,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377172,Dasyurus hallucatus,Northern Quoll,Dasyurus hallucatus,https://biodiversity.org.au/afd/taxa/5d7aeda8-2ec1-4111-830e-847f34321f88,dr651,"[{'key': 'status', 'value': 'Critically endangered'}, {'key': 'sourceStatus', 'value': 'Critically endangered'}]",Critically endangered,Critically endangered
4377207,Glyphis garricki,Northern River Shark,Glyphis garricki,https://biodiversity.org.au/afd/taxa/1359a50e-ae00-4a2a-9e59-772664b293cd,dr651,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'Endangered'}]",Endangered,Endangered
4377142,Myrmecobius fasciatus,Numbat,Myrmecobius fasciatus,https://biodiversity.org.au/afd/taxa/6c72d199-f0f1-44d3-8197-224a2f7cff5f,dr651,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'Endangered (extinct in NT)'}]",Endangered,Endangered (extinct in NT)
4377202,Simalia oenpelliensis,Oenpelli Python,Simalia oenpelliensis,https://biodiversity.org.au/afd/taxa/f5b75358-7204-40f9-9800-6f46c47ca546,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377111,Lepidochelys olivacea,Olive Ridley,Lepidochelys olivacea,https://biodiversity.org.au/afd/taxa/9a977391-19d1-407a-b979-5d0fa4c49f32,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377053,Grantiella picta,Painted Honeyeater,Grantiella picta,https://biodiversity.org.au/afd/taxa/6dad05af-065a-4b0f-ac18-ff00331a3f3e,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377095,Rattus tunneyi,Pale Field-rat,Rattus tunneyi,https://biodiversity.org.au/afd/taxa/ee8f37fd-7222-411a-bb00-c121dd894db1,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377151,Granulomelon squamulosum,Palm Valley Rocksnail,Granulomelon squamulosum,https://biodiversity.org.au/afd/taxa/d5078f1f-b697-4aa9-b8be-abe68eaab6c2,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
