"Supplied Name","guid","scientificName","family","kingdom","family","sourceStatus","status","Introduced  Status"
"Capparis loranthifolia  ","https://id.biodiversity.org.au/node/apni/2904691","Capparis loranthifolia","Capparaceae",,,,"Least Concern","Native to the N.T."
"Mesorhaga martius","urn:lsid:biodiversity.org.au:afd.taxon:b2018588-6c11-4379-8f3e-e0646572c5ef","Mesorhaga martius","Dolichopodidae",,,,"(not listed)","Endemic to the N.T."
"Acacia multistipulosa  ","https://id.biodiversity.org.au/node/apni/2904136","Acacia multistipulosa","Fabaceae",,,,"Least Concern","Endemic to the N.T."
"Latirolagena smaragdula","urn:lsid:biodiversity.org.au:afd.taxon:1a8f6739-3a45-4774-a46e-381a44e31fd7","Latirolagena smaragdula","Fasciolariidae",,,,"(not listed)","(not listed)"
"Conomurex luhuanus","urn:lsid:biodiversity.org.au:afd.taxon:75f0fda3-eb05-4975-923e-6674ac4967e5","Conomurex luhuanus","Strombidae",,,,"(not listed)","(not listed)"
"Urnalana whitei","urn:lsid:biodiversity.org.au:afd.taxon:d2a61dd4-2763-4624-94a0-2525c6251af7","Urnalana whitei","Leucosiidae",,,,"(not listed)","(not listed)"
"Cavisternum digweedi","urn:lsid:biodiversity.org.au:afd.taxon:aef523c4-1a34-44cd-b14c-f9f513d32035","Cavisternum digweedi","Oonopidae",,,,"(not listed)","Endemic to the N.T."
"Perinereis nigropunctata","urn:lsid:biodiversity.org.au:afd.taxon:911759bb-2050-4487-aa3b-fcf955e2d619","Perinereis nigropunctata","Nereididae",,,,"(not listed)","(not listed)"
"Chrysocephalum pterochaetum  ","https://id.biodiversity.org.au/node/apni/2889461","Chrysocephalum pterochaetum","Asteraceae",,,,"Least Concern","Native to the N.T."
"Cinclosoma castanotum","urn:lsid:biodiversity.org.au:afd.taxon:17c4e4c1-79ff-4f80-b6bd-388005f1f5f4","Cinclosoma (Malleeavis) castanotum","Psophodidae",,,,"Near Threatened","Native to the N.T."
"Goodenia cirrifica  ","https://id.biodiversity.org.au/node/apni/2911255","Goodenia cirrifica","Goodeniaceae",,,,"Least Concern","Endemic to the N.T."
"Centipeda borealis  ","https://id.biodiversity.org.au/taxon/apni/51268035","Centipeda borealis","Asteraceae",,,,"Least Concern","Native to the N.T."
"Leiocarpa semicalva subsp. semicalva","https://id.biodiversity.org.au/node/apni/2913471","Leiocarpa semicalva subsp. semicalva","Asteraceae",,,,"Least Concern","Native to the N.T."
"Gardenia pyriformis  ","https://id.biodiversity.org.au/node/apni/2896376","Gardenia pyriformis","Rubiaceae",,,,"Least Concern","Native to the N.T."
"Sepia latimanus","urn:lsid:biodiversity.org.au:afd.taxon:fcbf1abb-869d-43eb-9dd4-39df1258483e","Sepia latimanus","Sepiidae",,,,"(not listed)","(not listed)"
"Charybdis hellerii","urn:lsid:biodiversity.org.au:afd.taxon:f231a979-e15a-4311-9416-0511566f81d0","Charybdis (Charybdis) hellerii","Portunidae",,,,"(not listed)","(not listed)"
"Cymbopogon bombycinus  ","https://id.biodiversity.org.au/node/apni/2919431","Cymbopogon bombycinus","Poaceae",,,,"Least Concern","Native to the N.T."
"Euphorbia sp. Brunette Downs  ","ALA_Euphorbia_sp_Brunette_Downs","Euphorbia sp. Brunette Downs",,,,,"Not Evaluated","(not listed)"
"Trididemnum sibogae","urn:lsid:biodiversity.org.au:afd.taxon:f89abc76-a412-409a-8951-b00d884c1784","Trididemnum sibogae","Didemnidae",,,,"(not listed)","(not listed)"
"Triumfetta clivorum subsp. brevipetala","https://id.biodiversity.org.au/node/apni/2907975","Triumfetta clivorum subsp. brevipetala","Malvaceae",,,,"Data Deficient","Native to the N.T."
"Leptodius sanguineus","urn:lsid:biodiversity.org.au:afd.taxon:9b0293c4-943e-4256-8f5a-27e8ac83a271","Leptodius sanguineus","Anthidae",,,,"(not listed)","(not listed)"
"Cuphonotus andraeanus  ","https://id.biodiversity.org.au/node/apni/2906412","Cuphonotus andraeanus","Brassicaceae",,,,"Near Threatened","Native to the N.T."
"Strombus gibberulus","urn:lsid:biodiversity.org.au:afd.taxon:52fa1893-9167-4f56-a0dd-9fef8637874e","Gibberulus gibberulus","Strombidae",,,,"(not listed)","(not listed)"
"Acacia mountfordiae  ","https://id.biodiversity.org.au/node/apni/2886520","Acacia mountfordiae","Fabaceae",,,,"Least Concern","Endemic to the N.T."
"Monomyces rubrum","urn:lsid:biodiversity.org.au:afd.taxon:80b70231-9730-4102-ade5-b644cf5ba7bc","Monomyces rubrum","Flabellidae",,,,"(not listed)","(not listed)"
"Vittadinia eremaea  ","https://id.biodiversity.org.au/node/apni/2919280","Vittadinia eremaea","Asteraceae",,,,"Least Concern","Native to the N.T."
"Platynosomum burrman","urn:lsid:biodiversity.org.au:afd.taxon:7d7bc0ad-ba59-4365-812e-19f3717b1e27","Platynosomum burrman","Dicrocoeliidae",,,,"(not listed)","Endemic to the N.T."
"Goodenia brachypoda  ","https://id.biodiversity.org.au/node/apni/2889860","Goodenia brachypoda","Goodeniaceae",,,,"Least Concern","Native to the N.T."
"Astele similare","ALA_Astele_similare","Astele similare",,,,,"(not listed)","(not listed)"
"Euphorbia maconochieana  ","https://id.biodiversity.org.au/node/apni/2905483","Euphorbia maconochieana","Euphorbiaceae",,,,"Least Concern","Native to the N.T."
