wildnetTaxonID,name,status,wildnet_geoprivacy,lsid,scientificName,canonicalName,canonicalNameComplete,type,rankMarker,new_geoprivacy,status_id,taxon_id,user_id,description,iucn,authority,status_inat,geoprivacy,place_id,place_display_name,new_authority,new_description,new_url,new_place_id,new_username,new_iucn_equivalent,new_status,id,taxonID,identifier,parentNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,modified,taxonRank,references
18495,,Vulnerable,,https://id.biodiversity.org.au/node/apni/2901679,Baeckea trapeza,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=18495,7308,peggydnew,Vulnerable,Vulnerable,,,,,,,,,,,,,,,
17856,,Near Threatened,,https://id.biodiversity.org.au/node/apni/2908276,Beilschmiedia castrisinensis,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=17856,7308,peggydnew,Vulnerable,Near Threatened,,,,,,,,,,,,,,,
17865,,Vulnerable,,https://id.biodiversity.org.au/node/apni/2903700,Berrya rotundifolia,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=17865,7308,peggydnew,Vulnerable,Vulnerable,,,,,,,,,,,,,,,
864,,Extinct,,https://biodiversity.org.au/afd/taxa/2fa8d91d-8e8a-4a83-87e9-562ec0aecdef,Bettongia gaimardi gaimardi,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=864,7308,peggydnew,Vulnerable,Extinct,,,,,,,,,,,,,,,
29916,,Extinct,,https://biodiversity.org.au/afd/taxa/7a019451-60d4-4925-82c9-2c3aaf3aeaf4,Bettongia lesueur graii,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=29916,7308,peggydnew,Vulnerable,Extinct,,,,,,,,,,,,,,,
40309,,Special least concern,,https://id.biodiversity.org.au/node/apni/2894924,Blandfordia flammea aurea,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=40309,7308,peggydnew,Vulnerable,Special least concern,,,,,,,,,,,,,,,
41628,,Special least concern,,https://id.biodiversity.org.au/taxon/apni/51269289,Blechnum dissectum,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=41628,7308,peggydnew,Vulnerable,Special least concern,,,,,,,,,,,,,,,
41587,,Special least concern,,https://id.biodiversity.org.au/taxon/apni/51269295,Blechnum doodianum,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=41587,7308,peggydnew,Vulnerable,Special least concern,,,,,,,,,,,,,,,
41513,,Special least concern,,https://id.biodiversity.org.au/taxon/apni/51269325,Blechnum hindii,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=41513,7308,peggydnew,Vulnerable,Special least concern,,,,,,,,,,,,,,,
41616,,Special least concern,,https://id.biodiversity.org.au/taxon/apni/51269339,Blechnum lineare,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=41616,7308,peggydnew,Vulnerable,Special least concern,,,,,,,,,,,,,,,
