sourceOrigin,Species,authority,vernacularName,family,sourceStatus,epbcaStatus,class
,Myosurus australis,F.Muell.,southern mousetail,Ranunculaceae,e,,vascular
,Myriophyllum glomeratum,Schindl.,clustered watermilfoil,Haloragaceae,x,,vascular
,Myriophyllum integrifolium,(Hook.f.) Hook.f.,tiny watermilfoil,Haloragaceae,v,,vascular
,Myriophyllum muelleri,Sond.,hooded watermilfoil,Haloragaceae,r,,vascular
end,Odixia achlaena,(D.I.Morris) Orchard,golden everlastingbush,Asteraceae,r,,vascular
end,Olearia hookeri,(Sond.) Benth.,crimsontip daisybush,Asteraceae,r,,vascular
end,Orites milliganii,Meisn.,toothed orites,Proteaceae,r,,vascular
,Orthoceras strictum,R.Br.,horned orchid,Orchidaceae,r,,vascular
end,Ozothamnus floribundus,de Salas & Schmidt-Leb.,flowery everlastingbush,Asteraceae,e,,vascular
end,Ozothamnus lycopodioides,Hook.f.,clubmoss everlastingbush,Asteraceae,r,,vascular
end,Ozothamnus reflexifolius,K.Leeson & Rozefelds,reflexed everlastingbush,Asteraceae,v,VU,vascular
end,Ozothamnus selaginoides,Sond. & F.Muell.,table mountain everlastingbush,Asteraceae,x,EX,vascular
,Pandorea pandorana,(Andrews) Steenis,wonga vine,Bignoniaceae,r,,vascular
,Parietaria debilis,G.Forst.,shade pellitory,Urticaceae,r,,vascular
,Pellaea calidirupium,Brownsey & Lovis,hotrock fern,Adiantaceae,r,,vascular
end,Pentachondra ericifolia,Hook.f.,fine frillyheath,Ericaceae,r,,vascular
,Persicaria decipiens,(R.Br.) K.L.Wilson,slender waterpepper,Polygonaceae,v,,vascular
,Persicaria subsessilis,(R.Br.) K.L.Wilson,bristly waterpepper,Polygonaceae,e,,vascular
end,Persoonia moscalii,Orchard,creeping geebung,Proteaceae,r,,vascular
end,Persoonia muelleri subsp. angustifolia,(Benth.) L.A.S.Johnson & P.H.Weston,narrowleaf geebung,Proteaceae,r,,vascular
end,Phebalium daviesii,Hook.f.,davies waxflower,Rutaceae,e,CR,vascular
end,Pherosphaera hookeriana,W.Archer bis,drooping pine,Podocarpaceae,v,,vascular
end,Philotheca freyciana,Rozefelds,freycinet waxflower,Rutaceae,e,EN,vascular
,Phyllangium distylis,(F.Muell.) Dunlop ,tiny mitrewort,Loganiaceae,r,,vascular
,Phyllangium divergens,(Hook.f.) Dunlop,wiry mitrewort,Loganiaceae,v,,vascular
,Phylloglossum drummondii,Kunze,pygmy clubmoss,Lycopodiaceae,r,,vascular
,Pilularia novae-hollandiae,A.Braun,australian pillwort,Marsileaceae,r,,vascular
,Pimelea axiflora subsp. axiflora,F.Muell. ex Meisn.,bootlace bush,Thymelaeaceae,e,,vascular
,Pimelea curviflora var. gracilis,(R.Br.) Threlfall,slender curved riceflower,Thymelaeaceae,r,,vascular
,Pimelea curviflora var. sericea,Benth.,silky curved riceflower,Thymelaeaceae,r,,vascular
,Pimelea flava subsp. flava,R.Br.,yellow riceflower,Thymelaeaceae,r,,vascular
end,Pimelea milliganii,Meisn.,silver riceflower,Thymelaeaceae,r,,vascular
