,Name ID,Taxon, WA Status,WA Rank,WA IUCN Criteria,EPBC,DBCA Region,DBCA District,Distribution,Flowering Period,Recovery Plan,Notes
3487,45697,Terminalia kumpaja,3,,,,KIMB,WEST KIMBERLEY,"Wallal Downs, Mandora Station, Dampier Peninsula",Jun-Nov,,
3488,5313,Terminalia supranitifolia,3,,,,PILB,KARRATHA,"Robe River, Burrup Peninsula, Dolphin Is., Bungaroo Creek, Yannery River, Harding Dam",Nov-Dec,,
3489,16690,Tetragonia coronata,3,,,,"KIMB,MWST","GERALDTON,SHARK BAY,WEST KIMBERLEY","Overlander Roadhouse, Hamelin Pool, Broome, Carey Downs Stn.",Jun-Sep,,
3490,36284,Tetratheca affinis subsp. Cape Riche (T.D. Macfarlane TDM 1832),1,,,,SCST,ALBANY,Cape Riche,Sep-Oct,,
3491,23982,Tetratheca angulata,3,,,,MWST,MOORA,"Boothendarra Hill, Alexander Morrison NP, Mt Lesueur, Badgingarra",Aug-Oct,,
3492,29489,Tetratheca aphylla subsp. aphylla,T,VU,C2a; D1+2,VU,GOLD,KALGOORLIE,Helena & Aurora Ranges,Sep-Dec?,,
3493,29490,Tetratheca aphylla subsp. megacarpa,T,VU,B1ab(iii)+B2ab(iii),VU,"SCST,WHTB","ESPERANCE,GREAT SOUTHERN","Newdegate, E Varley",Sep-Dec?,,
3494,23986,Tetratheca applanata,1,,,,"SCST,WHTB","ALBANY,GREAT SOUTHERN","Dardadine, Broomehill, Ravensthorpe",Aug-Sep,,
3495,46773,Tetratheca butcheriana,1,,,,PILB,KARRATHA,Tom Price,Jun-Aug,,
3496,14665,Tetratheca chapmanii,1,,,,GOLD,KALGOORLIE,Carnarvon Range,,,
3497,4529,Tetratheca deltoidea,T,CR,"B1ab(iii,v)+2ab(iii,v); D",EN,WHTB,CENTRAL WHEATBELT,Mt Caroline,Aug-Sep,IRP,
3498,20761,Tetratheca erubescens,T,EN,"B1ab(iii,v)+B2ab(iii,v)",,GOLD,KALGOORLIE,Koolyanobbing,,,
3499,31761,Tetratheca exasperata,3,,,,"SWST,WHTB","WELLINGTON,GREAT SOUTHERN","Bowelling, Kojonup, Tincurrin, Duranillin",Sep-Oct,,
3500,4532,Tetratheca fasciculata,X,EX,,EX,WHTB,GREAT SOUTHERN,Lake Wagin,-,,
3501,25768,Tetratheca fordiana,2,,,,PILB,KARRATHA," West Angelas, Hamersley Range, Karijini N.P.",Sep,,
3502,4534,Tetratheca harperi,T,VU,D2,VU,GOLD,KALGOORLIE,Mt Jackson,May-Nov,,
3503,48340,Tetratheca hirsuta subsp. boonanarring,2,,,,SWAN,SWAN COASTAL,Gingin,Sep-Oct,,
3504,23989,Tetratheca nephelioides,T,EN,B1ab(iii)+2ab(iii); D,CR,MWST,MOORA,Eneabba,Sep,,
3505,4538,Tetratheca parvifolia,3,,,,SWST,BLACKWOOD,"Capel, East of Donnybrook, Collie",Oct,,
3506,23987,Tetratheca paynterae subsp. cremnobata,T,VU,D2,EN,GOLD,KALGOORLIE,Die Hardy Ranges,,,
3507,23988,Tetratheca paynterae subsp. paynterae,T,CR,"B1ab(ii,iii,v)",EN,GOLD,KALGOORLIE,Windarling Range,Apr-Nov,IRP,
3508,31781,Tetratheca phoenix,2,,,,SWAN,PERTH HILLS,Mt Cooke,Sep-Oct,,
3509,31778,Tetratheca pilata,1,,,,SCST,ALBANY,Ongerup,Oct,,
3510,4540,Tetratheca pilifera,3,,,,SWAN,"PERTH HILLS,SWAN COASTAL","Two Rocks, Chidlow, John Forrest NP",Aug-Sep,,
