scientificName,vernacularName,sourceStatus,family,genus,species,status
Baeckea kandos,a shrub,Endangered,Myrtaceae,Baeckea,kandos,Endangered
Balaenoptera borealis,Sei Whale,Vulnerable,Balaenopteridae,Balaenoptera,borealis,Vulnerable
Balaenoptera musculus,Blue Whale,Endangered,Balaenopteridae,Balaenoptera,musculus,Endangered
Balaenoptera physalus,Fin Whale,Vulnerable,Balaenopteridae,Balaenoptera,physalus,Vulnerable
Ballantinia antipoda,Southern Shepherd's Purse,Endangered,Brassicaceae,Ballantinia,antipoda,Endangered
Baloghia marmorata,"Marbled Balogia, Jointed Baloghia",Vulnerable,Euphorbiaceae,Baloghia,marmorata,Vulnerable
Baloskion longipes,Dense Cord-rush,Vulnerable,Restionaceae,Baloskion,longipes,Vulnerable
Banksia anatona,Cactus Dryandra,Critically Endangered,Proteaceae,Banksia,anatona,Critically Endangered
Banksia aurantia,Orange Dryandra,Critically Endangered,Proteaceae,Banksia,aurantia,Critically Endangered
Banksia brownii,"Brown's Banksia, Feather-leaved Banksia",Critically Endangered,Proteaceae,Banksia,brownii,Critically Endangered
Banksia catoglypta,-,Vulnerable,Proteaceae,Banksia,catoglypta,Vulnerable
Banksia cuneata,"Matchstick Banksia, Quairading Banksia",Endangered,Proteaceae,Banksia,cuneata,Endangered
Banksia fuscobractea,Dark-bract Banksia,Critically Endangered,Proteaceae,Banksia,fuscobractea,Critically Endangered
Banksia goodii,Good's Banksia,Vulnerable,Proteaceae,Banksia,goodii,Vulnerable
Banksia ionthocarpa,Kamballup Dryandra,Endangered,Proteaceae,Banksia,ionthocarpa,Endangered
Banksia mimica,Summer Honeypot,Endangered,Proteaceae,Banksia,mimica,Endangered
Banksia montana,Stirling Range Dryandra,Critically Endangered,Proteaceae,Banksia,montana,Critically Endangered
Banksia nivea subsp. uliginosa,Swamp Honeypot,Endangered,Proteaceae,Banksia,nivea,Endangered
Banksia oligantha,Wagin Banksia,Endangered,Proteaceae,Banksia,oligantha,Endangered
Banksia pseudoplumosa,False Plumed-Banksia,Endangered,Proteaceae,Banksia,pseudoplumosa,Endangered
Banksia rufa subsp. pumila,-,Endangered,Proteaceae,Banksia,rufa,Endangered
Banksia serratuloides subsp. perissa,Northern Serrate Dryandra,Critically Endangered,Proteaceae,Banksia,serratuloides,Critically Endangered
Banksia serratuloides subsp. serratuloides,Southern Serrate Dryandra,Vulnerable,Proteaceae,Banksia,serratuloides,Vulnerable
Banksia sphaerocarpa var. dolichostyla,"Ironcaps Banksia, Ironcap Banksia",Vulnerable,Proteaceae,Banksia,sphaerocarpa,Vulnerable
Banksia squarrosa subsp. argillacea,Whicher Range Dryandra,Vulnerable,Proteaceae,Banksia,squarrosa,Vulnerable
Banksia verticillata,"Granite Banksia, Albany Banksia, River Banksia",Vulnerable,Proteaceae,Banksia,verticillata,Vulnerable
Banksia vincentia,-,Critically Endangered,Proteaceae,Banksia,vincentia,Critically Endangered
Barbarea australis,"Native Wintercress, Riverbed Wintercress",Endangered,Brassicaceae,Barbarea,australis,Endangered
Bellatorias obiri,Arnhem Land Egernia,Endangered,Scincidae,Bellatorias,obiri,Endangered
Bertmainius colonus,Eastern Stirling Range Pygmy Trapdoor Spider,Vulnerable,Migidae,Bertmainius,colonus,Vulnerable
