Origin,Species,Authority,Common Name,Family,Group,sch,EPBCA,Flora/Fauna,Classification
,Geococcus pusillus,J.Drumm. ex Harv.,earth cress,Brassicaceae,Dicotyledonae,r,,Flora,vascular
end,Geum talbotianum,W.M.Curtis,tasmanian snowrose,Rosaceae,Dicotyledonae,r,,Flora,vascular
,Glossostigma elatinoides,(Benth.) Benth. ex Hook.f.,small mudmat,Phrymaceae,Dicotyledonae,r,,Flora,vascular
,Glycine latrobeana,(Meisn.) Benth.,clover glycine,Fabaceae,Dicotyledonae,v,VU,Flora,vascular
,Glycine microphylla,(Benth.) Tindale,small-leaf glycine,Fabaceae,Dicotyledonae,v,,Flora,vascular
,Gompholobium ecostatum,Kuchel,dwarf wedgepea,Fabaceae,Dicotyledonae,e,,Flora,vascular
,Goodenia geniculata,R.Br.,bent native-primrose,Goodeniaceae,Dicotyledonae,e,,Flora,vascular
,Gratiola pubescens,R.Br.,hairy brooklime,Plantaginaceae,Dicotyledonae,r,,Flora,vascular
,Gynatrix pulchella,(Willd.) Alef.,fragrant hempbush,Malvaceae,Dicotyledonae,r,,Flora,vascular
,Gyrostemon thesioides,(Hook.f.) A.S.George,broom wheelfruit,Gyrostemonaceae,Dicotyledonae,r,,Flora,vascular
,Hackelia latifolia,(R.Br.) Dimon & M.A.M.Renner,forest houndstongue,Boraginaceae,Dicotyledonae,r,,Flora,vascular
,Hakea ulicina,R.Br.,furze needlebush,Proteaceae,Dicotyledonae,v,,Flora,vascular
,Haloragis aspera,Lindl.,rough raspwort,Haloragaceae,Dicotyledonae,v,,Flora,vascular
,Haloragis heterophylla,Brongn.,variable raspwort,Haloragaceae,Dicotyledonae,r,,Flora,vascular
,Haloragis myriocarpa,Orchard,prickly raspwort,Haloragaceae,Dicotyledonae,r,,Flora,vascular
,Hardenbergia violacea,(Schneev.) Stearn,purple coralpea,Fabaceae,Dicotyledonae,e,,Flora,vascular
,Hedycarya angustifolia,A.Cunn.,australian mulberry,Monimiaceae,Dicotyledonae,r,,Flora,vascular
end,Hibbertia basaltica,A.M.Buchanan & Schah.,basalt guineaflower,Dilleniaceae,Dicotyledonae,e,EN,Flora,vascular
,Hibbertia calycina,(DC.) N.A.Wakef.,lesser guineaflower,Dilleniaceae,Dicotyledonae,v,,Flora,vascular
,Hibbertia obtusifolia,DC.,grey guineaflower,Dilleniaceae,Dicotyledonae,x,,Flora,vascular
,Hibbertia rufa,N.A.Wakef.,brown guineaflower,Dilleniaceae,Dicotyledonae,r,,Flora,vascular
,Hibbertia virgata,R.Br. ex DC.,twiggy guineaflower,Dilleniaceae,Dicotyledonae,r,,Flora,vascular
,Hovea corrickiae,J.H.Ross,glossy purplepea,Fabaceae,Dicotyledonae,r,,Flora,vascular
,Hovea montana,(Hook.f.) J.H.Ross,mountain purplepea,Fabaceae,Dicotyledonae,r,,Flora,vascular
end,Hovea tasmanica,I.Thomps. & J.H.Ross,rockfield purplepea,Fabaceae,Dicotyledonae,r,,Flora,vascular
,Hyalosperma demissum,(A.Gray) Paul G.Wilson,moss sunray,Asteraceae,Dicotyledonae,e,,Flora,vascular
,Hydrocotyle comocarpa,F.Muell.,fringefruit pennywort,Araliaceae,Dicotyledonae,r,,Flora,vascular
,Hydrocotyle laxiflora,DC.,stinking pennywort,Araliaceae,Dicotyledonae,e,,Flora,vascular
,Hydrorchis orbicularis,(R.S.Rogers) D.L.Jones & M.A.Clem.,swamp onion-orchid,Orchidaceae,Monocotyledonae,r,,Flora,vascular
t,Hypolepis distans,Hook.,scrambling groundfern,Dennstaedtiaceae,Pteridophyta,e,EN,Flora,vascular
,Hypolepis muelleri,N.A.Wakef.,harsh groundfern,Dennstaedtiaceae,Pteridophyta,r,,Flora,vascular
,Isoetes drummondii subsp. drummondii,A.Braun,plain quillwort,Isoetaceae,Pteridophyta,r,,Flora,vascular
