,Taxon_Id,Kingdom,Class,Family,Scientific_name,Common_name,Taxon_author,NCA_status,EPBC_status,Significant,Confidential,Endemicity
137,29180,animals,arachnids,Theraphosidae,Selenocosmia crassipes,,"(Koch, 1874)",C,,N,Y,Q
138,29181,animals,arachnids,Theraphosidae,Selenocosmia stirlingi,,"Hogg, 1901",C,,N,N,QA
139,29182,animals,arachnids,Theraphosidae,Selenocosmia strenua,,"(Thorell, 1881)",C,,N,Y,Q
140,29183,animals,arachnids,Theraphosidae,Selenocosmia subvulpina,,"Strand, 1907",C,,N,N,Q
141,29185,animals,arachnids,Theraphosidae,Selenotypus plumipes,,"Pocock, 1895",C,,N,Y,Q
142,35639,animals,arachnids,Urodacidae,Urodacus macrurus,,"Pocock, 1899",C,,N,N,Q
143,35640,animals,arachnids,Urodacidae,Urodacus manicatus,black rock scorpion,"(Thorell, 1876)",C,,N,N,QA
144,35641,animals,arachnids,Urodacidae,Urodacus spinatus,,"Pocock, 1902",C,,N,N,Q
145,35642,animals,arachnids,Urodacidae,Urodacus yaschenkoi,inland robust scorpion,"(Birula, 1903)",C,,N,N,QA
146,1100,animals,birds,Casuariidae,Casuarius casuarius johnsonii (northern population),southern cassowary (northern population),"Mueller, 1866",V,E,Y,N,Q
147,1087,animals,birds,Casuariidae,Casuarius casuarius johnsonii (southern population),southern cassowary (southern population),"Mueller, 1866",E,E,Y,N,Q
148,1089,animals,birds,Casuariidae,Dromaius novaehollandiae,emu,"(Latham, 1790)",C,,N,N,QA
149,1694,animals,birds,Megapodiidae,Alectura lathami,Australian brush-turkey,"Gray, 1831",C,,N,N,QA
150,1696,animals,birds,Megapodiidae,Megapodius reinwardt,orange-footed scrubfowl,"Dumont, 1823",C,,N,N,QA
151,1699,animals,birds,Phasianidae,Coturnix pectoralis,stubble quail,"Gould, 1837",C,,N,N,QA
152,1688,animals,birds,Phasianidae,Gallus gallus,red junglefowl,"(Linnaeus, 1758)",,,N,N,II
153,19667,animals,birds,Phasianidae,Meleagris gallopavo,wild turkey,"Linnaeus, 1758",,,N,N,II
154,1690,animals,birds,Phasianidae,Pavo cristatus,Indian peafowl,"Linnaeus, 1758",,,N,N,II
155,1698,animals,birds,Phasianidae,Synoicus chinensis,king quail,"(Linnaeus, 1766)",C,,N,N,QAI
