id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,sourceStatus,status
4377623,Cupaniopsis tomentella,Boonah Tuckeroo,Cupaniopsis tomentella,https://id.biodiversity.org.au/node/apni/2888688,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4377308,Diploglottis campbellii,Small-leaved Tamarind,Diploglottis campbellii,https://id.biodiversity.org.au/node/apni/2906814,dr652,"[{'key': 'sourceStatus', 'value': 'E'}, {'key': 'status', 'value': 'Endangered'}]",E,Endangered
4377580,Diploglottis harpullioides,Tamarind,Diploglottis harpullioides,https://id.biodiversity.org.au/node/apni/2909125,dr652,"[{'key': 'sourceStatus', 'value': 'NT'}, {'key': 'status', 'value': 'Near threatened'}]",NT,Near threatened
4378335,Diploglottis pedleyi,Pedley's Tamarind,Diploglottis pedleyi,https://id.biodiversity.org.au/node/apni/2895732,dr652,"[{'key': 'sourceStatus', 'value': 'NT'}, {'key': 'status', 'value': 'Near threatened'}]",NT,Near threatened
4377565,Dodonaea hirsuta,,Dodonaea hirsuta,https://id.biodiversity.org.au/node/apni/2901292,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4377265,Dodonaea rupicola,Velvet Hopbush,Dodonaea rupicola,https://id.biodiversity.org.au/node/apni/2909839,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4377681,Dodonaea uncinata,,Dodonaea uncinata,https://id.biodiversity.org.au/node/apni/2916526,dr652,"[{'key': 'sourceStatus', 'value': 'NT'}, {'key': 'status', 'value': 'Near threatened'}]",NT,Near threatened
4378557,Lepiderema hirsuta,Hairy Lepiderema,Lepiderema hirsuta,https://id.biodiversity.org.au/node/apni/2907188,dr652,"[{'key': 'sourceStatus', 'value': 'NT'}, {'key': 'status', 'value': 'Near threatened'}]",NT,Near threatened
4377647,Lepiderema largiflorens,,Lepiderema largiflorens,https://id.biodiversity.org.au/node/apni/2908808,dr652,"[{'key': 'sourceStatus', 'value': 'NT'}, {'key': 'status', 'value': 'Near threatened'}]",NT,Near threatened
4377485,Lepiderema pulchella,Fine Leaved Tuckeroo,Lepiderema pulchella,https://id.biodiversity.org.au/node/apni/2911053,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4378551,Lepisanthes senegalensis,,Lepisanthes senegalensis,https://id.biodiversity.org.au/node/apni/2897521,dr652,"[{'key': 'sourceStatus', 'value': 'E'}, {'key': 'status', 'value': 'Endangered'}]",E,Endangered
4377811,Mischocarpus albescens,,Mischocarpus albescens,https://id.biodiversity.org.au/node/apni/2886621,dr652,"[{'key': 'sourceStatus', 'value': 'NT'}, {'key': 'status', 'value': 'Near threatened'}]",NT,Near threatened
4378136,Sarcopteryx montana,,Sarcopteryx montana,https://id.biodiversity.org.au/node/apni/2903721,dr652,"[{'key': 'sourceStatus', 'value': 'NT'}, {'key': 'status', 'value': 'Near threatened'}]",NT,Near threatened
4377817,Synima heterophylla,,Synima heterophylla,ALA_DR652_2031,dr652,"[{'key': 'sourceStatus', 'value': 'NT'}, {'key': 'status', 'value': 'Near threatened'}]",NT,Near threatened
4378167,Toechima pterocarpum,Orange Tamarind,Toechima pterocarpum,https://id.biodiversity.org.au/node/apni/2909457,dr652,"[{'key': 'sourceStatus', 'value': 'E'}, {'key': 'status', 'value': 'Endangered'}]",E,Endangered
4378388,Tristiropsis acutangula,Fern-leaved Tamarind,Tristiropsis acutangula,https://id.biodiversity.org.au/node/apni/2897436,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4378366,Donella lanceolata,Star Apple,Chrysophyllum roxburghii,https://id.biodiversity.org.au/node/apni/2908616,dr652,"[{'key': 'sourceStatus', 'value': 'NT'}, {'key': 'status', 'value': 'Near threatened'}]",NT,Near threatened
4377903,Niemeyera whitei,Rusty Plum,Niemeyera whitei,https://id.biodiversity.org.au/node/apni/2920059,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4378358,Planchonella eerwah,Shiny Leaved Coondoo,Planchonella eerwah,https://id.biodiversity.org.au/node/apni/2903411,dr652,"[{'key': 'sourceStatus', 'value': 'E'}, {'key': 'status', 'value': 'Endangered'}]",E,Endangered
4377731,Planchonella xylocarpa,,Planchonella xylocarpa,https://id.biodiversity.org.au/node/apni/2896268,dr652,"[{'key': 'sourceStatus', 'value': 'NT'}, {'key': 'status', 'value': 'Near threatened'}]",NT,Near threatened
4377904,Eremophila stenophylla,,Eremophila stenophylla,https://id.biodiversity.org.au/node/apni/2902699,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4377867,Eremophila tetraptera,,Eremophila tetraptera,https://id.biodiversity.org.au/node/apni/2903883,dr652,"[{'key': 'sourceStatus', 'value': 'NT'}, {'key': 'status', 'value': 'Near threatened'}]",NT,Near threatened
