name,commonName_new,scientificName_new,listUpdate,commonName_old,scientificName_old
Eutaxia sp. North Ironcap (P. Armstrong PA 06/898),,Eutaxia sp. North Ironcap (P. Armstrong PA 06/898),added,,
Ficus lilliputiana forma lilliputiana,,Ficus lilliputiana f. lilliputiana,added,,
Ficus lilliputiana forma pilosa,,Ficus lilliputiana forma pilosa,added,,
Fitzwillia sp. Newdegate (A. Coates 8766) PN,,,added,,
Frankenia georgei,,Frankenia georgei,added,,
Gastrolobium sp. Asperum (F. Hort 2864) PN,,,added,,
Gastrolobium sp. Yoongarillup (S. Dilkes s.n. 1/9/1969),,Gastrolobium sp. Yoongarillup (S.Dilkes s.n. 1/9/1969),added,,
Geleznowia amabilis,Kalbarri Yellow Bells,Geleznowia amabilis,added,,
Glycine lactivirens,,,added,,
Gompholobium glabristylum,Beardless Pea,Gompholobium glabristylum,added,,
Gomphrena axillaris,,,added,,
Gomphrena longistyla,,,added,,
Gonocarpus keigheryi,,Gonocarpus keigheryi,added,,
Gonocarpus orchardii,,Gonocarpus orchardii,added,,
Goodenia asteriscus,,Goodenia asteriscus,added,,
Goodenia exigua,,Velleia exigua,added,,
Goodenia halophila,,Goodenia halophila,added,,
Goodenia hirsuta,Hoary Goodenia,Goodenia hirsuta,added,,
Goodenia pritzelii,,Goodenia microptera,added,,
Goodenia quartzitica,Quartz-loving Goodenia,Goodenia quartzitica,added,,
Goodenia radicans,Raumangu,Selliera radicans,added,,
Goodenia sp. Beyondie (L.W. Sage & S. van Leeuwen LWS 2518),,Goodenia sp. Beyondie (L.W.Sage & S.J.van Leeuwen LWS 2518),added,,
Goodenia sp. Charnley River (M.D. Barrett MDB 5163),,,added,,
Goodenia sp. South Coast (A.R. Annels ARA 1846),,Goodenia sp. South Coast (A.R. Annels ARA1846),added,,
Goodenia verreauxii,,Goodenia verreauxii,added,,
Grammosolen archeri,,Grammosolen archeri,added,,
Grammosolen odgersii subsp. occidentalis,,Grammosolen odgersii subsp. occidentalis,added,,
Grammosolen odgersii subsp. odgersii,,Grammosolen odgersii subsp. odgersii,added,,
Grevillea brachystylis subsp. Yelverton (A. Webb AW09122),,,added,,
Grevillea bronweniae,,Grevillea bronweniae,added,,
Grevillea dissectifolia,,,added,,
Grevillea hystrix,Porcupine Grevillea,Grevillea hystrix,added,,
Grevillea merceri,,Grevillea merceri,added,,
Grevillea ornithopoda,Birdsfoot Grevillea,Grevillea manglesii subsp. ornithopoda,added,,
Grevillea pieroniae,,Grevillea pieroniae,added,,
Grevillea sp. Cooljarloo (B.J. Keighery 28 B),,Grevillea sp. Cooljarloo (B.J.Keighery 28 B),added,,
Grevillea sp. Duranillin (E.F. Shedley 180) PN,,,added,,
Grevillea sp. Nyabing (A. Coates & J. Ward AC 6030) PN,,,added,,
Grevillea sp. Victoria Desert (R. Davis et al. RD 11611),,Grevillea sp. Victoria Desert (R.Davis et al. RD 11611),added,,
Grevillea sp. Yerilgee Hills (T. Laslett TL 025),,Grevillea sp. Yerilgee Hills (T.Laslett TL 025),added,,
Grevillea speckiana,,,added,,
Grevillea synapheae subsp. latiloba,,Grevillea synapheae subsp. latiloba,added,,
Grevillea thelemanniana,Spider Net Grevillea,Grevillea thelemanniana,added,,
Grevillea trichantha,,,added,,
Grona flagellaris,,Grona flagellaris,added,,
Grona pullenii,,Grona pullenii,added,,
Gyrostemon sp. Mogumber (T.J. Hawkeswood 250),,Gyrostemon sp. Mogumber (T.J.Hawkeswood 250),added,,
Hakea cygnus subsp. needlei,,,added,,
Hakea sp. Great Victoria Desert (L. Cockram LAC 139),,Hakea sp. Great Victoria Desert (L.Cockram LAC 139),added,,
Haloragis luminosa,Lantern Sea-berry,Haloragis luminosa,added,,
Hemigenia diadela,Mid West Capote,Hemigenia diadela,added,,
Hemigenia dulcis,,,added,,
Hemigenia pimeleifolia,,,added,,
Hemigenia sp. Nillup (R.D. Royce 98),,Hemigenia sp. Nillup (R.D.Royce 98),added,,
Hibbertia acrotoma,,Hibbertia acrotoma,added,,
Hibbertia ambita,,Hibbertia ambita,added,,
Hibbertia archeri,,,added,,
Hibbertia barrettiae,,Hibbertia barrettiae,added,,
Hibbertia elegans,,Hibbertia elegans,added,,
Hibbertia hortiorum,,Hibbertia hortiorum,added,,
Hibbertia inopinata,,Hibbertia inopinata,added,,
Hibbertia leptotheca,,Hibbertia leptotheca,added,,
Hibbertia polyancistra,,Hibbertia polyancistra,added,,
Hibbertia proberae,Desert Guinea-flower,Hibbertia proberae,added,,
Hibbertia sandifordiae,,Hibbertia sandifordiae,added,,
Hibbertia sejuncta,,Hibbertia sejuncta,added,,
Hibbertia sp. Mt Holland (B. Ellery BE 1437) PN,,Hibbertia sp. Mt Holland (B.Ellery BE 1437),added,,
Hibbertia sp. Sherwood Breakaways (R.J. Cranfield 6771),,Hibbertia sp. Sherwood Breakaways (R.J.Cranfield 6771),added,,
Hibbertia subglabra,,Hibbertia subglabra,added,,
Hibbertia tuberculata,,Hibbertia tuberculata,added,,
Hibbertia wheelerae,,Hibbertia wheelerae,added,,
Hibiscus campanulatus,,Hibiscus campanulatus,added,,
Hibiscus chrysinocolla,Golden-goo Hibiscus,Hibiscus chrysinocolla,added,,
Hibiscus sp. Kununurra (K.F. Kenneally 1940) PN,,,added,,
Hibiscus sp. Perrinvale Station (J. Warden & E. Ager WB 10581),,Hibiscus sp. Perrinvale Station (J.Warden & E.Ager WB 10581),added,,
Hydrocotyle asterocarpa,Starry Pennywort,Hydrocotyle asterocarpa,added,,
Hydrocotyle decorata,Decorative Pennywort,Hydrocotyle decorata,added,,
Hydrocotyle dimorphocarpa,Single-winged Pennywort,Hydrocotyle dimorphocarpa,added,,
Hydrocotyle eichleri,Eichler's Pennywort,Hydrocotyle eichleri,added,,
Hydrocotyle papilionella,Butterfly Pennywort,Hydrocotyle papilionella,added,,
Hydrocotyle perforata,Pitted Pennywort,Hydrocotyle perforata,added,,
Hydrocotyle phoenix,Fire Pennywort,Hydrocotyle phoenix,added,,
Hydrocotyle serendipita,Albany Pennywort,Hydrocotyle serendipita,added,,
Hydrocotyle spinulifera,Spiny Fruited Pennywort,Hydrocotyle spinulifera,added,,
Hydrocotyle tuberculata,Bumpy-fruited Pennywort,Hydrocotyle tuberculata,added,,
Hypocalymma inopinatum,,,added,,
Hypocalymma polyandrum,,,added,,
Hypocalymma sp. Nambung (R. Spjut & R. Smith s.n. 22/09/1992) PN,,Hypocalymma sp. Nambung (R.Spjut & R.Smith s.n. 22/09/1992),added,,
Hypoxis cavernicola,,Pauridia sp. Prince Regent River (M.D.Barrett 924 B),added,,
Hysterobaeckea cornuta,,Hysterobaeckea cornuta,added,,
Hysterobaeckea glandulosa,,Hysterobaeckea glandulosa,added,,
Hysterobaeckea graniticola,,Hysterobaeckea graniticola,added,,
Hysterobaeckea ochropetala subsp. cometes,,Hysterobaeckea ochropetala subsp. cometes,added,,
Hysterobaeckea ochropetala subsp. ochropetala,,Hysterobaeckea ochropetala subsp. ochropetala,added,,
Hysterobaeckea pterocera,,Hysterobaeckea pterocera,added,,
Hysterobaeckea sp. Exclamation Lake (M.E. Trudgen 1524)	,,Hysterobaeckea sp. Exclamation Lake (M.E.Trudgen 1524),added,,
Indigofera cornuligera subsp. cornuligera,,Indigofera cornuligera subsp. cornuligera,added,,
Indigofera rivularis,,,added,,
Indigofera rotula,,,added,,
Isopogon autumnalis,Autumn Isopogon,Isopogon autumnalis,added,,
Isotropis forrestii,,Isotropis forrestii,added,,
Isotropis petrensis,,,added,,
Jacquemontia sp. Keep River (J.L. Egan 5015),,Jacquemontia sp. Keep River (J.L.Egan 5015),added,,
Josephinia sp. Woodstock (A.A. Mitchell PRP 989),,Josephinia sp. Woodstock (A.A.Mitchell PRP 989),added,,
Kunzea dracopetrensis,Dragon Rocks Kunzea,Kunzea dracopetrensis,added,,
Kunzea petrophila,,Kunzea petrophila,added,,
Lambertia orbifolia subsp. Bowelling (A. Webb AW 09107) PN,,,added,,
Lasiopetalum caroliae,,Lasiopetalum caroliae,added,,
Lasiopetalum decoratum,,Lasiopetalum decoratum,added,,
Lasiopetalum hapalocalyx,Wellstead Lasiopetalum,Lasiopetalum hapalocalyx,added,,
Lasiopetalum moullean,,Lasiopetalum moullean,added,,
Lasiopetalum oldfieldii,,Lasiopetalum oldfieldii,added,,
Lasiopetalum rupicola,,Lasiopetalum rupicola,added,,
