VBATaxonId,scientificName,vernacularName,scientificNameAuthoritiy,family,FFGStatus,FFGDesc,EPBCStatus,EPBCDesc,sourceStatus,status,VBARestriction,VBA_origin,speciesGroup,identificationRemarks,VBATreaty,VBA_discipline,kingdom,taxonRank,modified
528526,Galaxias longifundus,West Gippsland Galaxias,"Raadik, 2014",Galaxiinae,cr,Critically endangered,,,cr,Critically endangered,Restricted viewing taxon,,Fish,,,Aquatic fauna,Animalia,Species,23/06/2021
528522,Galaxias mcdowalli,McDowall's Galaxias,"Raadik, 2014",Galaxiinae,cr,Critically endangered,,,cr,Critically endangered,Restricted viewing taxon,,Fish,,,Aquatic fauna,Animalia,Species,23/06/2021
528523,Galaxias mungadhan,Dargo Galaxias,"Raadik, 2014",Galaxiinae,cr,Critically endangered,,,cr,Critically endangered,Restricted viewing taxon,,Fish,,,Aquatic fauna,Animalia,Species,23/06/2021
1693,Engaeus sternalis,Warragul Burrowing Crayfish,"(Clark, 1936)",Parastacidae,cr,Critically endangered,,,cr,Critically endangered,Restricted viewing taxon,,"Mussels, decopod crustacea",,,Aquatic fauna,Animalia,Species,23/06/2021
1685,Engaeus urostrictus,Dandenong Burrowing Crayfish,"Riek, 1969",Parastacidae,cr,Critically endangered,,,cr,Critically endangered,Restricted viewing taxon,,"Mussels, decopod crustacea",,,Aquatic fauna,Animalia,Species,23/06/2021
2455,Leptoperla kallistae,Kallista Flightless Stonefly,Hynes 1974,Paragripopteryginae,cr,Critically endangered,,,cr,Critically endangered,Restricted viewing taxon,,Invertebrates,,,Aquatic invertebrates,Animalia,Species,23/06/2021
2512,Riekoperla darlingtoni,Mt Donna Buang Wingless Stonefly,"(Illies, 1968)",Gripopterygidae,cr,Critically endangered,,,cr,Critically endangered,Restricted viewing taxon,,Invertebrates,,,Aquatic invertebrates,Animalia,Species,23/06/2021
621,Hyridella glenelgensis,Glenelg Freshwater Mussel / Bocara Timbonn,"(Dennant, 1898)",Hyriidae,cr,Critically endangered,CR,Critically Endangered,cr,Critically endangered,Restricted viewing taxon,,"Mussels, decopod crustacea",,,Aquatic invertebrates,Animalia,Species,23/06/2021
10020,Pedionomus torquatus,Plains-wanderer,,Pedionomidae,cr,Critically endangered,CR,Critically Endangered,cr,Critically endangered,Restricted viewing taxon,,Non-passerine birds,,,Terrestrial fauna,Animalia,Species,23/06/2021
75154,Austropyrgus grampianensis,Dairy Creek Austropyrgus Snail,"(Gabriel, 1939)",Hydrobiidae,cr,Critically endangered,,,cr,Critically endangered,Restricted viewing taxon,,Aquatic invertebrates,,,Terrestrial fauna,Animalia,Species,23/06/2021
13168,Litoria booroolongensis,Booroolong Tree Frog,,Hylidae,cr,Critically endangered,EN,Endangered,cr,Critically endangered,Restricted viewing taxon,,Amphibians,,,Terrestrial fauna,Animalia,Species,23/06/2021
13195,Litoria spenceri,Spotted Tree Frog,,Hylidae,cr,Critically endangered,EN,Endangered,cr,Critically endangered,Restricted viewing taxon,,Amphibians,,,Terrestrial fauna,Animalia,Species,23/06/2021
