scientificName,vernacularName,family,genus,sourceStatus,listedSpratTaxonId,currentSpratTaxonId,status
Allocasuarina glareicola,-,Casuarinaceae,Allocasuarina,Endangered,21932,,Endangered
Allocasuarina portuensis,Nielsen Park She-oak,Casuarinaceae,Allocasuarina,Endangered,21937,,Endangered
Allocasuarina robusta,Mount Compass Oak-bush,Casuarinaceae,Allocasuarina,Endangered,16377,,Endangered
Allocasuarina simulans,Nabiac Casuarina,Casuarinaceae,Allocasuarina,Vulnerable,21935,,Vulnerable
Allocasuarina thalassoscopica,-,Casuarinaceae,Allocasuarina,Endangered,21927,,Endangered
Allocasuarina tortiramula,Twisted Sheoak,Casuarinaceae,Allocasuarina,Vulnerable,22124,,Vulnerable
Alloxylon flammeum,"Red Silky Oak, Queensland Waratah, Tree Waratah",Proteaceae,Alloxylon,Vulnerable,56400,,Vulnerable
Almaleea cambagei,Torrington Pea,Fabaceae,Almaleea,Vulnerable,56308,,Vulnerable
Ammobium craspedioides,Yass Daisy,Asteraceae,Ammobium,Vulnerable,20758,,Vulnerable
Ammoniropa vigens,Ammonite Pinwheel Snail,Charopidae,Ammoniropa,Critically Endangered,90200,,Critically Endangered
Amperea xiphoclada var. pedicellata,-,Euphorbiaceae,Amperea,Extinct,55225,,Extinct
Amphibromus fluitans,"River Swamp Wallaby-grass, Floating Swamp Wallaby-grass",Poaceae,Amphibromus,Vulnerable,19215,,Vulnerable
Amphibromus whitei,-,Poaceae,Amphibromus,Extinct,3590,,Extinct
Amyema plicatula,-,Loranthaceae,Amyema,Endangered,81879,,Endangered
Amytornis barbatus barbatus,"Bulloo Grey Grasswren, Grey Grasswren (Bulloo)",Maluridae,Amytornis,Endangered,67065,,Endangered
Amytornis dorotheae,Carpentarian Grasswren,Maluridae,Amytornis,Endangered,558,,Endangered
Amytornis merrotsyi merrotsyi,Short-tailed Grasswren (Flinders Ranges),Maluridae,Amytornis,Vulnerable,86269,,Vulnerable
Amytornis merrotsyi pedleri,"Gawler Ranges Short-tailed Grasswren, Short-tailed Grasswren (Gawler Ranges)",Maluridae,Amytornis,Endangered,86270,,Endangered
Amytornis modestus,Thick-billed Grasswren,Maluridae,Amytornis,Vulnerable,84121,,Vulnerable
Amytornis modestus obscurior,"Grey Range Thick-billed Grasswren, Thick-billed Grasswren (north-west NSW)",Maluridae,Amytornis,Critically Endangered,86183,,Critically Endangered
