scientificName,vernacularName,family,status,sourceStatus
Rhodanthe anthemoides,chamomile sunray,Asteraceae,Rare,r
Rhytidosporum inconspicuum,alpine appleberry,Pittosporaceae,Endangered,e
Rumex bidens,mud dock,Polygonaceae,Vulnerable,v
Ruppia megacarpa,largefruit seatassel,Ruppiaceae,Rare,r
Ruppia tuberosa,tuberous seatassel,Ruppiaceae,Rare,r
Rytidosperma remotum,remote wallabygrass,Poaceae,Rare,r
Sagina diemensis,tasmanian pearlwort,Caryophyllaceae,Endangered,e
Scaevola aemula,fairy fanflower,Goodeniaceae,Endangered,e
Scaevola albida,pale fanflower,Goodeniaceae,Vulnerable,v
Schenkia australis,spike centaury,Gentianaceae,Rare,r
Schoenoplectus tabernaemontani,river clubsedge,Cyperaceae,Rare,r
Schoenus brevifolius,zigzag bogsedge,Cyperaceae,Rare,r
Schoenus latelaminatus,medusa bog sedge,Cyperaceae,Endangered,e
Scleranthus diander,tufted knawel,Caryophyllaceae,Vulnerable,v
Scleranthus fasciculatus,spreading knawel,Caryophyllaceae,Vulnerable,v
Scutellaria humilis,dwarf scullcap,Lamiaceae,Rare,r
Senecio campylocarpus,bulging fireweed,Asteraceae,Vulnerable,v
Senecio extensus,subalpine fireweed,Asteraceae,Endangered,e
Senecio georgianus,grey groundsel,Asteraceae,Extinct,x
Senecio longipilus,longhair fireweed,Asteraceae,Vulnerable,v
Senecio macrocarpus,largefruit fireweed,Asteraceae,Extinct,x
Senecio psilocarpus,swamp fireweed,Asteraceae,Endangered,e
Senecio squarrosus,leafy fireweed,Asteraceae,Rare,r
Senecio tasmanicus,tasmanian fireweed,Asteraceae,Extinct,x
Sicyos australis,star cucumber,Cucurbitaceae,Rare,r
Siloxerus multiflorus,small wrinklewort,Asteraceae,Rare,r
Solanum opacum,greenberry nightshade,Solanaceae,Endangered,e
Sowerbaea juncea,purple rushlily,Laxmanniaceae,Vulnerable,v
Spyridium eriocephalum var. eriocephalum,heath dustymiller,Rhamnaceae,Endangered,e
Spyridium lawrencei,small-leaf dustymiller,Rhamnaceae,Vulnerable,v
Spyridium obcordatum,creeping dustymiller,Rhamnaceae,Vulnerable,v
Spyridium parvifolium var. molle,soft dustymiller,Rhamnaceae,Rare,r
Spyridium parvifolium var. parvifolium,coast dustymiller,Rhamnaceae,Rare,r
Spyridium vexilliferum var. vexilliferum,helicopter bush,Rhamnaceae,Rare,r
Stackhousia pulvinaris,alpine candles,Celastraceae,Vulnerable,v
Stackhousia subterranea,grassland candles,Celastraceae,Endangered,e
Stellaria multiflora subsp. nebulosa,nebulous rayless starwort,Caryophyllaceae,Rare,r
Stenanthemum pimeleoides,propellor plant,Rhamnaceae,Vulnerable,v
Stenopetalum lineare,narrow threadpetal,Brassicaceae,Endangered,e
