scientificName,vernacularName,status,sourceStatus
Dodonaea rhombifolia,Broad-leaf Hop-bush,Endangered,Endangered
Dodonaea truncatiales,Angular Hop-bush,Endangered,Endangered
Dodonaea viscosa subsp. angustifolia,Giant Hop-bush,Vulnerable,Vulnerable
Drabastrum alpestre,Mountain Cress,Critically Endangered,Critically Endangered
Dracophyllum victorianum,Serpent Heath,Endangered,Endangered
Drepanocladus polygamus,Shore Feather-moss,Vulnerable,Vulnerable
Drosera arcturi,Alpine Sundew,Endangered,Endangered
Drosera finlaysoniana,Flycatcher,Vulnerable,Vulnerable
Dryopoa dives subsp. B,Grampians Mountain-grass,Vulnerable,Vulnerable
Duma horrida subsp. horrida,Spiny Lignum,Critically Endangered,Critically Endangered
Dysphania carinata,Keeled Goosefoot,Vulnerable,Vulnerable
Dysphania simulans,Spiked Pigweed,Critically Endangered,Critically Endangered
Echinodiopsis hispida,Madeira Moss,Vulnerable,Vulnerable
Echinopogon caespitosus var. caespitosus,Bushy Hedgehog-grass,Endangered,Endangered
Elachanthus glaber,Smooth Elachanth,Endangered,Endangered
Elachanthus pusillus,Small Elachanth,Endangered,Endangered
Elacholoma prostrata,Small Monkey-flower,Endangered,Endangered
Eleocharis plana,Flat Spike-sedge,Critically Endangered,Critically Endangered
Enneapogon gracilis,Slender Bottle-washers,Vulnerable,Vulnerable
Epacris celata,Cryptic Heath,Endangered,Endangered
Epacris glacialis,Reddish Bog-heath,Endangered,Endangered
Epacris microphylla s.s.,Coast Coral Heath,Vulnerable,Vulnerable
Epacris petrophila,Snow Heath,Endangered,Endangered
Epacris rhombifolia,Mountain Coral Heath,Endangered,Endangered
Epilobium brunnescens subsp. beaugleholei,Bog Willow-herb,Critically Endangered,Critically Endangered
Epilobium curtisiae,Bald-seeded Willow-herb,Endangered,Endangered
Epilobium sarmentaceum,Mountain Willow-herb,Vulnerable,Vulnerable
Epilobium tasmanicum,Snow Willow-herb,Critically Endangered,Critically Endangered
Epilobium willisii,Carpet Willow-herb,Extinct,Extinct
Eragrostis australasica,Cane Grass,Critically Endangered,Critically Endangered
Eragrostis exigua,Slender Love-grass,Endangered,Endangered
Eragrostis lacunaria,Purple Love-grass,Endangered,Endangered
Eragrostis setifolia,Bristly Love-grass,Endangered,Endangered
Eragrostis trachycarpa,Rough-grain Love-grass,Endangered,Endangered
Eremophila bignoniiflora,Bignonia Emu-bush,Endangered,Endangered
Eremophila debilis,Winter Apple,Critically Endangered,Critically Endangered
Eremophila divaricata subsp. divaricata,Spreading Emu-bush,Vulnerable,Vulnerable
Eremophila gibbifolia,Coccid Emu-bush,Vulnerable,Vulnerable
Eremophila maculata subsp. maculata,Spotted Emu-bush,Critically Endangered,Critically Endangered
Eremophila oppositifolia subsp. oppositifolia,Twin-leaf Emu-bush,Endangered,Endangered
Eremophila polyclada,Twiggy Emu-bush,Critically Endangered,Critically Endangered
Eremophila scoparia,Silvery Emu-bush,Endangered,Endangered
Eremophila sturtii,Narrow-leaf Emu-bush,Critically Endangered,Critically Endangered
Erigeron conyzoides,Daisy Fleabane,Endangered,Endangered
Eriocaulon australasicum,Southern Pipewort,Endangered,Endangered
Eriocaulon scariosum,Common Pipewort,Endangered,Endangered
Eriochlamys squamata,Scaly Mantle,Endangered,Endangered
Eryngium paludosum,Long Eryngium,Endangered,Endangered
Ethuliopsis cunninghamii,Tall Nut-heads,Endangered,Endangered
Eucalyptus X oxypoma,Deniliquin Box,Endangered,Endangered
Eucalyptus X studleyensis,Studley Park Gum,Critically Endangered,Critically Endangered
Eucalyptus aff. camaldulensis (Torrumbarry),Torrumbarry Red-gum,Endangered,Endangered
Eucalyptus agglomerata,Blue-leaf Stringybark,Vulnerable,Vulnerable
Eucalyptus aggregata,Black Gum,Vulnerable,Vulnerable
Eucalyptus alaticaulis,Grampians Grey-gum,Vulnerable,Vulnerable
Eucalyptus alligatrix subsp. alligatrix,Silver Stringybark,Endangered,Endangered
Eucalyptus alligatrix subsp. limaensis,Lima Stringybark,Critically Endangered,Critically Endangered
Eucalyptus arenicola,Gippsland Lakes Peppermint,Endangered,Endangered
Eucalyptus baueriana subsp. deddickensis,Deddick Blue-box,Critically Endangered,Critically Endangered
Eucalyptus baueriana subsp. thalassina,Werribee Blue-box,Endangered,Endangered
Eucalyptus bosistoana,Coast Grey-box,Endangered,Endangered
Eucalyptus brookeriana,Brooker's Gum,Endangered,Endangered
Eucalyptus cadens,Warby Range Swamp-gum,Endangered,Endangered
Eucalyptus carolaniae,Mount Martha Bundy,Critically Endangered,Critically Endangered
Eucalyptus cinerea subsp. victoriensis,Beechworth Silver Stringybark,Endangered,Endangered
Eucalyptus conferta,Fryers Range Scentbark,Endangered,Endangered
Eucalyptus crenulata,Buxton Gum,Endangered,Endangered
Eucalyptus cyanophylla,Blue-leaf Mallee,Vulnerable,Vulnerable
Eucalyptus cypellocarpa x globulus subsp. pseudoglobulus,Mallacoota Gum,Endangered,Endangered
Eucalyptus denticulata,Errinundra Shining Gum,Endangered,Endangered
Eucalyptus diversifolia subsp. megacarpa,Coast Gum,Vulnerable,Vulnerable
Eucalyptus elaeophloia,Olive Mallee,Vulnerable,Vulnerable
Eucalyptus falciformis,Western Peppermint,Vulnerable,Vulnerable
Eucalyptus fasciculosa,Pink Gum,Endangered,Endangered
Eucalyptus filiformis,Mt Jeffcott Mallee-box,Critically Endangered,Critically Endangered
Eucalyptus forresterae,Brumby Sallee,Endangered,Endangered
Eucalyptus fraxinoides,White Ash,Vulnerable,Vulnerable
Eucalyptus froggattii,Kamarooka Mallee,Critically Endangered,Critically Endangered
Eucalyptus fulgens,Green Scentbark,Endangered,Endangered
Eucalyptus glaucescens,Tingaringy Gum,Vulnerable,Vulnerable
Eucalyptus globulus subsp. globulus,Southern Blue-gum,Endangered,Endangered
Eucalyptus globulus subsp. maidenii,Maiden's Gum,Vulnerable,Vulnerable
Eucalyptus goniocalyx subsp. laxa,Gum-barked Bundy,Endangered,Endangered
Eucalyptus hawkeri,Arapiles Peppermint-box,Endangered,Endangered
Eucalyptus ignorabilis s.s.,Grey Scentbark,Vulnerable,Vulnerable
Eucalyptus kitsoniana,Bog Gum,Critically Endangered,Critically Endangered
Eucalyptus kybeanensis,Mallee Ash,Vulnerable,Vulnerable
Eucalyptus leucoxylon subsp. bellarinensis,Bellarine Yellow-gum,Critically Endangered,Critically Endangered
Eucalyptus leucoxylon subsp. connata,Melbourne Yellow-gum,Endangered,Endangered
Eucalyptus leucoxylon subsp. megalocarpa,Large-fruit Yellow-gum,Critically Endangered,Critically Endangered
Eucalyptus litoralis,Otway Grey-gum,Endangered,Endangered
Eucalyptus mackintii,Gippsland Stringybark,Vulnerable,Vulnerable
Eucalyptus mitchelliana,Buffalo Sallee,Vulnerable,Vulnerable
Eucalyptus molyneuxii,Little Desert Peppermint,Critically Endangered,Critically Endangered
Eucalyptus neglecta,Omeo Gum,Endangered,Endangered
Eucalyptus ornans,Avon Peppermint,Critically Endangered,Critically Endangered
Eucalyptus ovata subsp. grandiflora,West-coast Swamp-gum,Endangered,Endangered
Eucalyptus pauciflora subsp. acerina,Baw Baw Sally,Endangered,Endangered
Eucalyptus pauciflora subsp. debeuzevillei,Jounama Sallee,Critically Endangered,Critically Endangered
Eucalyptus pauciflora subsp. hedraia,Bogong Sally,Critically Endangered,Critically Endangered
Eucalyptus pauciflora subsp. parvifructa,Grampians Sally,Vulnerable,Vulnerable
Eucalyptus perriniana subsp. familiaris,Spinning Gum,Endangered,Endangered
Eucalyptus phenax subsp. phenax,Green-leaf Mallee,Endangered,Endangered
Eucalyptus phoenix,Brumby Mallee-gum,Critically Endangered,Critically Endangered
Eucalyptus polyanthemos subsp. longior,Forest Red-box,Endangered,Endangered
Eucalyptus polybractea,Blue Mallee,Endangered,Endangered
Eucalyptus pyrenea,Pyrenees Gum,Critically Endangered,Critically Endangered
Eucalyptus sabulosa,Wimmera Scentbark,Vulnerable,Vulnerable
Eucalyptus saxatilis,Rock Mallee,Vulnerable,Vulnerable
Eucalyptus serraensis,Grampians Stringybark,Vulnerable,Vulnerable
Eucalyptus sideroxylon subsp. sideroxylon,Mugga,Endangered,Endangered
Eucalyptus silvestris,Woodland Box,Critically Endangered,Critically Endangered
Eucalyptus splendens,Apple Jack,Critically Endangered,Critically Endangered
Eucalyptus strzeleckii,Strzelecki Gum,Critically Endangered,Critically Endangered
Eucalyptus tricarpa subsp. decora,Bealiba Ironbark,Endangered,Endangered
Eucalyptus verrucata,Mt Abrupt Stringybark,Vulnerable,Vulnerable
Eucalyptus victoriana,Victoria Range Stringybark,Vulnerable,Vulnerable
Eucalyptus walshii,Little Desert Mallee-box,Critically Endangered,Critically Endangered
Eucalyptus willisii s.s.,Promontory Peppermint,Vulnerable,Vulnerable
Eucalyptus wimmerensis,Wimmera Mallee-box,Critically Endangered,Critically Endangered
Eucalyptus yarraensis,Yarra Gum,Critically Endangered,Critically Endangered
Eucalyptus yarriambiack,Yarriambiack Mallee-box,Critically Endangered,Critically Endangered
Euchiton traversii,Mat Cudweed,Vulnerable,Vulnerable
Euchiton umbricola,Cliff Cudweed,Endangered,Endangered
Eucryphia moorei,Eastern Leatherwood,Critically Endangered,Critically Endangered
Euphorbia planitiicola,Plains Spurge,Endangered,Endangered
Euphorbia tannensis subsp. eremophila,Desert Spurge,Critically Endangered,Critically Endangered
Euphrasia caudata,Tailed Eyebright,Endangered,Endangered
Euphrasia collina subsp. 1,Purple Eyebright,Critically Endangered,Critically Endangered
Euphrasia collina subsp. diversicolor,Purple Eyebright,Critically Endangered,Critically Endangered
Euphrasia collina subsp. muelleri,Purple Eyebright,Endangered,Endangered
Euphrasia collina subsp. tetragona,Purple Eyebright,Vulnerable,Vulnerable
Euphrasia collina subsp. trichocalycina,Purple Eyebright,Vulnerable,Vulnerable
